,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,sequential_execution_time,execution_time,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4
0,136,13.6,5,0,11,12,9,11,9,13,11,12,10,13,11,14,10,11,9,12,9,11,12,13,15.6,20.6,0.9692592592592593,0.412,1,20.6,0.9692592592592593,0.412,15.6,1.0,708682768404.0,50.0,128.23709869384766,128.23709869384766,156.15660285949707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,86,8.6,5,0,9,13,12,14,9,12,12,14,11,14,10,11,9,11,11,13,0,0,0,0,14.6,16.4,0.9686921296296296,0.328,1,16.4,0.9686921296296296,0.328,14.6,6.0,708682768404.0,50.0,146.09437203407288,146.09437203407288,156.91990399360657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,173,17.3,5,0,10,13,11,13,11,12,9,11,10,12,12,13,12,14,11,14,12,14,0,0,14.4,18.0,0.9674382716049382,0.36,1,18.0,0.9674382716049382,0.36,14.4,11.0,708682768404.0,50.0,112.56093549728394,112.56093549728394,136.9289746284485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,43,4.3,5,0,9,12,12,14,9,10,10,11,9,11,9,10,10,14,0,0,0,0,0,0,6.6,10.2,0.9620436507936506,0.204,1,10.2,0.9620436507936506,0.204,6.6,16.0,708682768404.0,50.0,142.04748511314392,142.04748511314392,163.59368324279785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,195,19.5,5,0,9,11,10,11,10,11,11,14,12,14,10,12,11,12,0,0,0,0,0,0,8.0,12.0,0.9557473544973545,0.24,1,12.0,0.9557473544973545,0.24,8.0,21.0,708682768404.0,50.0,113.6808865070343,113.6808865070343,125.12806963920593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,82,8.2,5,0,11,14,10,11,11,12,9,11,9,10,0,0,0,0,0,0,0,0,0,0,4.6,6.6,0.9123703703703703,0.132,1,6.6,0.9123703703703703,0.132,4.6,26.0,708682768404.0,50.0,134.27567172050476,134.27567172050476,134.2778708934784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,128,12.8,5,0,12,14,10,11,9,11,12,14,9,10,10,12,9,12,10,11,0,0,0,0,8.8,13.0,0.9240046296296296,0.26,1,13.0,0.9240046296296296,0.26,8.8,31.0,708682768404.0,50.0,160.58528804779053,160.58528804779053,160.5874786376953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,180,18.0,5,0,12,14,9,10,12,14,11,14,9,11,9,10,0,0,0,0,0,0,0,0,10.2,11.0,0.9650154320987653,0.22,1,11.0,0.9650154320987653,0.22,10.2,36.0,708682768404.0,50.0,98.09192037582397,98.09192037582397,117.86385893821716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,109,10.9,5,0,12,13,10,14,10,11,12,14,11,12,0,0,0,0,0,0,0,0,0,0,6.8,8.4,0.962861111111111,0.168,1,8.4,0.962861111111111,0.168,6.8,41.0,708682768404.0,50.0,86.73352003097534,86.73352003097534,107.16016578674316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,151,15.1,5,0,10,12,12,13,11,14,10,14,12,14,10,14,12,13,10,14,9,10,12,14,19.6,23.8,0.9707824074074072,0.476,1,23.8,0.9707824074074072,0.476,19.6,46.0,708682768404.0,50.0,132.62789750099182,132.62789750099182,155.39982867240906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
