,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,sequential_execution_time,execution_time,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4
35,199,19.9,5,2,12,14,11,12,12,14,11,13,12,14,0,0,0,0,0,0,0,0,0,0,6.6,9.0,0.9326111111111108,0.18,1,9.0,0.9326111111111108,0.18,6.6,168,246004124312,50,128.60392665863037,128.60392665863037,130.74828553199768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,199,19.9,5,3,11,13,12,14,9,10,9,10,9,11,12,14,11,13,0,0,0,0,0,0,8.6,12.0,0.9240476190476189,0.24,1,12.0,0.9240476190476189,0.24,8.6,173,246004124312,50,192.5669026374817,192.5669026374817,192.58374524116516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,199,19.9,5,3,9,10,12,14,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,5.0,0.9492592592592591,0.1,1,5.0,0.9492592592592591,0.1,3.6,118,246004124312,50,102.621910572052,102.621910572052,0.0007853507995605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,200,20.0,5,3,9,10,11,12,12,14,10,11,0,0,0,0,0,0,0,0,0,0,0,0,2.8,5.0,0.9460416666666664,0.1,1,5.0,0.9460416666666664,0.1,2.8,178,246004124312,50,113.23814058303833,113.23814058303833,121.86664772033691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,41,4.1,5,3,9,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.0,0.9477777777777776,0.04,1,2.0,0.9477777777777776,0.04,1.6,183,246004124312,50,99.19835019111633,99.19835019111633,99.21991038322449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,199,19.9,5,3,9,10,12,14,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,5.0,0.9492592592592591,0.1,1,5.0,0.9492592592592591,0.1,3.6,118,246004124312,50,102.621910572052,102.621910572052,0.001522064208984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,199,19.9,5,3,9,10,12,14,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,5.0,0.9492592592592591,0.1,1,5.0,0.9492592592592591,0.1,3.6,118,246004124312,50,102.621910572052,102.621910572052,0.0013189315795898438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,199,19.9,5,3,12,14,9,10,12,14,11,13,0,0,0,0,0,0,0,0,0,0,0,0,6.2,7.0,0.9334374999999998,0.14,1,7.0,0.9334374999999998,0.14,6.2,188,246004124312,50,130.07062292099,130.07062292099,130.26661443710327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,199,19.9,5,3,11,13,12,14,9,10,9,10,11,13,12,14,11,13,0,0,0,0,0,0,9.0,12.0,0.9226984126984126,0.24,1,12.0,0.9226984126984126,0.24,9.0,28,246004124312,50,192.69849801063538,192.69849801063538,0.0013506412506103516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,51,5.1,5,3,10,13,12,13,9,10,10,13,0,0,0,0,0,0,0,0,0,0,0,0,5.4,6.0,0.9581249999999998,0.12,1,6.0,0.9581249999999998,0.12,5.4,193,246004124312,50,122.74810600280762,122.74810600280762,146.1002697944641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
