,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,163,16.3,5,0,12,14,12,14,11,12,9,10,12,14,11,14,9,10,0,0,0,0,0,0,8.8,11.959999999999999,0.955595238095238,0.1196,5,11.8,0.9460185185185184,0.118,11.8,0,467782364096,100,397.8084306716919,12.0,0.9537632275132274,0.12,7.8,1,343157447188,100,357.30635619163513,12.0,0.9638161375661375,0.12,7.8,2,534371422464,100,325.1656217575073,12.0,0.957678571428571,0.12,8.6,3,574418538297,100,347.78241658210754,12.0,0.9566997354497353,0.12,8.0,4,773880189679,100,353.0947222709656,1781.1575474739075,398.1974539756775
1,199,19.9,5,0,12,14,12,14,11,14,11,12,12,13,12,14,9,10,0,0,0,0,0,0,9.08,12.0,0.9375714285714283,0.12,5,12.0,0.9468849206349204,0.12,8.2,5,467782364096,100,355.85581612586975,12.0,0.9260515873015871,0.12,9.8,6,343157447188,100,411.2564859390259,12.0,0.9422883597883596,0.12,8.8,7,534371422464,100,356.2741322517395,12.0,0.9359060846560844,0.12,9.2,8,574418538297,100,383.400470495224,12.0,0.9367261904761902,0.12,9.4,9,773880189679,100,402.3249566555023,1909.1118614673615,411.2771990299225
2,42,4.2,5,0,9,13,9,13,9,10,10,13,12,14,10,14,0,0,0,0,0,0,0,0,8.92,12.68,0.9602831790123456,0.1268,5,13.0,0.9832253086419752,0.13,8.4,10,467782364096,100,307.3839793205261,12.2,0.9396759259259256,0.122,8.4,11,343157447188,100,461.2397735118866,12.6,0.965690586419753,0.126,9.0,12,534371422464,100,357.21962904930115,12.6,0.9480825617283952,0.126,10.4,13,574418538297,100,441.44868540763855,13.0,0.964741512345679,0.13,8.4,14,773880189679,100,343.35782527923584,1910.6498925685883,461.2587833404541
3,151,15.1,5,0,10,14,12,13,10,12,12,14,9,13,11,13,11,13,11,14,10,14,0,0,17.2,23.759999999999998,0.9681697530864197,0.23759999999999998,5,23.8,0.9731532921810698,0.238,17.2,15,467782364096,100,296.0621654987335,24.0,0.9734902263374485,0.24,15.8,16,343157447188,100,288.5140197277069,23.4,0.9579989711934156,0.234,20.2,17,534371422464,100,370.2820370197296,23.6,0.969375,0.236,19.2,18,574418538297,100,302.3179955482483,24.0,0.9668312757201645,0.24,13.6,19,773880189679,100,345.1606996059418,1602.33691740036,370.30421328544617
4,128,12.8,5,0,11,12,9,10,10,13,12,13,12,14,11,14,10,11,0,0,0,0,0,0,8.24,11.56,0.9565661375661373,0.1156,5,11.8,0.9633134920634918,0.118,8.2,20,467782364096,100,259.7740466594696,11.4,0.9567328042328039,0.114,7.8,21,343157447188,100,346.68650555610657,11.6,0.9551719576719575,0.116,8.8,22,534371422464,100,310.87141370773315,11.4,0.9541732804232803,0.114,8.8,23,574418538297,100,367.85060930252075,11.6,0.9534391534391533,0.116,7.6,24,773880189679,100,325.4879426956177,1610.6705179214478,367.8719162940979
5,45,4.5,5,0,11,13,10,13,10,14,10,14,12,14,11,14,0,0,0,0,0,0,0,0,9.44,13.0,0.9639143518518518,0.13,5,13.0,0.9560493827160493,0.13,10.0,25,467782364096,100,348.21634674072266,13.0,0.9583410493827159,0.13,9.0,26,343157447188,100,350.53300309181213,12.8,0.9681944444444444,0.128,10.4,27,534371422464,100,315.22998309135437,13.2,0.9760648148148148,0.132,10.4,28,574418538297,100,254.81841492652893,13.0,0.9609220679012345,0.13,7.4,29,773880189679,100,305.49309849739075,1574.2908463478088,350.55318665504456
6,188,18.8,5,0,12,14,11,14,10,13,9,13,11,14,10,11,12,14,11,12,10,11,0,0,15.8,20.0,0.9505704732510287,0.2,5,20.0,0.9498533950617283,0.2,18.6,30,467782364096,100,419.6237337589264,20.0,0.9434362139917695,0.2,14.4,31,343157447188,100,445.56649446487427,20.0,0.9529166666666664,0.2,14.0,32,534371422464,100,385.63855385780334,20.0,0.965025720164609,0.2,17.4,33,574418538297,100,356.37244057655334,20.0,0.9416203703703702,0.2,14.6,34,773880189679,100,455.73095178604126,2062.9321744441986,455.75205636024475
7,93,9.3,5,0,11,14,9,12,10,14,12,14,9,11,9,11,10,12,12,14,0,0,0,0,12.76,18.160000000000004,0.9689131944444445,0.18159999999999998,5,18.6,0.975329861111111,0.186,10.0,35,467782364096,100,315.94971227645874,18.0,0.9744328703703702,0.18,15.4,36,343157447188,100,332.79165053367615,18.0,0.9606973379629629,0.18,13.2,37,534371422464,100,410.0743668079376,17.8,0.962271412037037,0.178,13.4,38,574418538297,100,405.498229265213,18.4,0.9718344907407407,0.184,11.8,39,773880189679,100,350.57775139808655,1814.891710281372,410.094598531723
8,160,16.0,5,0,9,11,11,12,11,13,11,12,10,12,11,13,12,14,10,13,12,14,0,0,12.839999999999998,16.96,0.9630185185185184,0.16960000000000003,5,17.0,0.9673251028806583,0.17,13.0,40,467782364096,100,281.5612733364105,17.0,0.9701440329218107,0.17,15.2,41,343157447188,100,284.66362047195435,16.8,0.9455401234567901,0.168,11.2,42,534371422464,100,364.5835223197937,17.0,0.9707921810699587,0.17,12.2,43,574418538297,100,262.7957594394684,17.0,0.9612911522633745,0.17,12.6,44,773880189679,100,330.9712166786194,1524.5753922462463,364.604900598526
9,132,13.2,5,0,10,11,9,12,10,11,10,14,11,13,11,14,0,0,0,0,0,0,0,0,9.559999999999999,13.52,0.9734891975308642,0.13520000000000001,5,13.6,0.9735648148148147,0.136,10.0,45,467782364096,100,248.99502038955688,13.4,0.9680787037037036,0.134,10.2,46,343157447188,100,279.13362550735474,13.6,0.9836033950617282,0.136,9.0,47,534371422464,100,210.08208203315735,13.4,0.9676311728395062,0.134,8.4,48,574418538297,100,318.38385820388794,13.6,0.9745679012345678,0.136,10.2,49,773880189679,100,279.45084261894226,1336.0454287528992,318.40519070625305
10,170,17.0,5,0,12,13,11,14,10,11,11,14,9,13,9,11,9,13,11,14,0,0,0,0,16.080000000000002,20.96,0.9606296296296296,0.2096,5,21.0,0.9530873842592592,0.21,18.6,50,467782364096,100,354.4266080856323,21.0,0.9645688657407407,0.21,14.0,51,343157447188,100,336.65059661865234,21.0,0.9652112268518518,0.21,13.6,52,534371422464,100,332.37655901908875,20.8,0.9653472222222222,0.208,18.8,53,574418538297,100,333.6686089038849,21.0,0.954933449074074,0.21,15.4,54,773880189679,100,376.1743359565735,1733.2967085838318,376.1967554092407
11,121,12.1,5,0,9,10,12,14,10,11,12,14,10,12,9,13,10,14,10,14,11,14,0,0,17.52,21.76,0.9596322016460906,0.21760000000000002,5,21.8,0.9638503086419752,0.218,17.4,55,467782364096,100,403.5321114063263,21.8,0.9637757201646091,0.218,16.4,56,343157447188,100,418.81490778923035,21.8,0.9704886831275721,0.218,17.8,57,534371422464,100,372.8730227947235,21.2,0.9332664609053497,0.212,19.4,58,574418538297,100,543.6251876354218,22.2,0.9667798353909465,0.222,16.6,59,773880189679,100,356.53537797927856,2095.3806076049805,543.6474583148956
12,199,19.9,5,1,12,14,11,12,11,14,12,13,12,14,9,10,0,0,0,0,0,0,0,0,7.919999999999999,10.0,0.9392654320987652,0.1,5,10.0,0.938287037037037,0.1,8.6,60,467782364096,100,573.9064621925354,10.0,0.9375077160493825,0.1,5.8,61,343157447188,100,580.4722015857697,10.0,0.9449922839506172,0.1,7.4,62,534371422464,100,527.143137216568,10.0,0.9378472222222219,0.1,8.6,63,574418538297,100,564.6239314079285,10.0,0.9376929012345677,0.1,9.2,64,773880189679,100,591.8845708370209,2838.0303032398224,591.916107416153
13,160,16.0,5,1,9,10,11,12,11,13,11,14,10,12,11,12,11,13,11,14,10,13,12,14,14.479999999999999,19.88,0.960448148148148,0.1988,5,19.8,0.9537916666666664,0.198,13.6,65,467782364096,100,1112.6905918121338,20.0,0.963810185185185,0.2,13.2,66,343157447188,100,996.4309797286987,19.8,0.9567731481481481,0.198,14.0,67,534371422464,100,1107.6267385482788,20.0,0.9722777777777777,0.2,16.8,68,574418538297,100,853.8884553909302,19.8,0.9555879629629628,0.198,14.8,69,773880189679,100,1112.2394058704376,5182.876171350479,1112.69593167305
14,128,12.8,5,1,11,12,9,13,10,13,11,13,10,13,0,0,0,0,0,0,0,0,0,0,9.040000000000001,12.440000000000001,0.9691925925925926,0.1244,5,12.2,0.9515925925925925,0.122,9.8,70,467782364096,100,643.5246982574463,12.2,0.9687453703703703,0.122,9.2,71,343157447188,100,597.795170545578,12.6,0.9825462962962963,0.126,8.6,72,534371422464,100,426.3245630264282,12.6,0.9778611111111111,0.126,9.8,73,574418538297,100,518.9321188926697,12.6,0.9652175925925925,0.126,7.8,74,773880189679,100,601.4985411167145,2788.0750918388367,643.5300686359406
15,42,4.2,5,1,9,12,9,10,10,13,12,13,10,14,12,14,10,11,0,0,0,0,0,0,7.719999999999999,10.8,0.9581236772486772,0.10800000000000001,5,10.4,0.9282076719576718,0.104,9.4,75,467782364096,100,1092.851068019867,10.4,0.9474173280423279,0.104,7.8,76,343157447188,100,996.7191731929779,11.0,0.9610978835978835,0.11,7.6,77,534371422464,100,928.2408127784729,11.0,0.9783267195767195,0.11,7.4,78,574418538297,100,856.4218304157257,11.2,0.9755687830687829,0.112,6.4,79,773880189679,100,846.8136503696442,4721.046534776688,1092.8621697425842
16,132,13.2,5,1,9,12,10,11,9,13,11,12,12,14,11,14,0,0,0,0,0,0,0,0,10.32,13.6,0.9719853395061728,0.136,5,13.6,0.9605632716049382,0.136,11.0,80,467782364096,100,664.4522819519043,13.4,0.9732986111111109,0.134,8.0,81,343157447188,100,661.8208222389221,13.4,0.9739660493827159,0.134,10.6,82,534371422464,100,647.7470879554749,14.0,0.9802932098765432,0.14,9.6,83,574418538297,100,476.9334223270416,13.6,0.9718055555555555,0.136,12.4,84,773880189679,100,613.591192483902,3064.544806957245,664.4698438644409
17,162,16.2,5,1,12,14,12,14,11,12,9,10,12,14,9,10,0,0,0,0,0,0,0,0,6.32,8.92,0.9556805555555554,0.08919999999999999,5,8.8,0.9288194444444442,0.088,6.8,85,467782364096,100,750.5621259212494,8.8,0.9414814814814813,0.088,7.0,86,343157447188,100,713.0893723964691,9.0,0.971597222222222,0.09,6.0,87,534371422464,100,603.9556241035461,9.0,0.968935185185185,0.09,6.4,88,574418538297,100,623.389429807663,9.0,0.9675694444444444,0.09,5.4,89,773880189679,100,629.8950364589691,3320.8915886878967,750.5676362514496
18,132,13.2,5,1,10,11,9,12,10,11,10,14,10,11,0,0,0,0,0,0,0,0,0,0,6.76,9.6,0.9577574074074073,0.096,5,9.6,0.9485370370370368,0.096,6.6,90,467782364096,100,721.8113214969635,9.4,0.9497499999999999,0.094,6.0,91,343157447188,100,738.3170437812805,9.8,0.981435185185185,0.098,7.8,92,534371422464,100,477.87124133110046,9.6,0.9455740740740739,0.096,6.8,93,574418538297,100,718.9211287498474,9.6,0.9634907407407406,0.096,6.6,94,773880189679,100,712.4555613994598,3369.3762967586517,738.381463766098
19,128,12.8,5,1,11,12,10,13,12,13,12,14,9,12,11,12,12,14,0,0,0,0,0,0,8.8,12.4,0.9546124338624337,0.124,5,12.4,0.9558267195767194,0.124,9.2,95,467782364096,100,694.0110681056976,12.2,0.9521164021164019,0.122,9.4,96,343157447188,100,794.9277195930481,12.2,0.9377711640211638,0.122,7.8,97,534371422464,100,801.4109015464783,12.6,0.9578835978835977,0.126,8.4,98,574418538297,100,631.0517292022705,12.6,0.9694642857142857,0.126,9.2,99,773880189679,100,628.3151750564575,3549.716593503952,801.4374978542328
20,170,17.0,5,1,11,14,11,14,12,14,9,10,12,14,12,14,0,0,0,0,0,0,0,0,9.36,13.0,0.9644135802469134,0.13,5,13.0,0.9681790123456789,0.13,8.4,100,467782364096,100,750.1889655590057,13.0,0.9594290123456788,0.13,9.0,101,343157447188,100,729.1710228919983,13.0,0.9685339506172839,0.13,9.2,102,534371422464,100,721.8826842308044,13.0,0.9612499999999998,0.13,12.0,103,574418538297,100,730.2358903884888,13.0,0.9646759259259258,0.13,8.2,104,773880189679,100,733.400970697403,3664.8795337677,750.1946969032288
21,98,9.8,5,1,10,12,10,14,12,14,11,12,9,11,9,11,10,14,9,10,0,0,0,0,12.84,16.439999999999998,0.962612847222222,0.16440000000000002,5,16.4,0.956909722222222,0.164,12.2,105,467782364096,100,1102.8569576740265,16.4,0.9697829861111109,0.164,12.2,106,343157447188,100,1022.9994866847992,16.6,0.9703645833333332,0.166,12.2,107,534371422464,100,999.6115036010742,16.2,0.9461024305555554,0.162,13.2,108,574418538297,100,1148.9770741462708,16.6,0.9699045138888888,0.166,14.4,109,773880189679,100,1048.628963470459,5323.07398557663,1149.0617837905884
22,42,4.2,5,1,9,13,9,12,9,10,10,13,11,14,12,14,10,13,0,0,0,0,0,0,9.36,13.24,0.9479153439153439,0.13240000000000002,5,13.4,0.9483829365079364,0.134,9.8,110,467782364096,100,1294.4586584568024,13.0,0.9507242063492062,0.13,14.4,111,343157447188,100,1232.625965833664,13.0,0.9385747354497355,0.13,9.8,112,534371422464,100,1366.2370841503143,13.4,0.9613293650793651,0.134,7.0,113,574418538297,100,1137.7477521896362,13.4,0.9405654761904764,0.134,5.8,114,773880189679,100,1325.6571311950684,6356.726591825485,1366.2610836029053
23,44,4.4,5,1,11,13,10,12,10,14,10,14,11,14,0,0,0,0,0,0,0,0,0,0,7.359999999999999,10.959999999999999,0.9718175925925925,0.1096,5,11.2,0.9811388888888889,0.112,7.2,115,467782364096,100,617.9098391532898,11.0,0.9805185185185185,0.11,6.2,116,343157447188,100,566.410858631134,10.6,0.9603981481481482,0.106,7.8,117,534371422464,100,739.2433393001556,10.8,0.9638564814814814,0.108,7.0,118,574418538297,100,733.312347650528,11.2,0.9731759259259258,0.112,8.6,119,773880189679,100,707.559520483017,3364.4359052181244,739.3305542469025
24,42,4.2,5,2,9,13,9,12,10,13,12,14,12,14,0,0,0,0,0,0,0,0,0,0,6.5200000000000005,9.919999999999998,0.9663648148148148,0.0992,5,10.2,0.964185185185185,0.102,5.8,120,467782364096,100,707.3129057884216,9.8,0.9615509259259258,0.098,5.8,121,343157447188,100,725.9278087615967,10.0,0.9778009259259258,0.1,6.4,122,534371422464,100,620.0787000656128,9.8,0.9796111111111111,0.098,7.8,123,574418538297,100,599.6278021335602,9.8,0.9486759259259259,0.098,6.8,124,773880189679,100,770.6010019779205,3423.548218727112,770.6298825740814
25,128,12.8,5,2,10,13,10,14,9,12,10,13,12,14,0,0,0,0,0,0,0,0,0,0,10.4,14.36,0.9676925925925925,0.1436,5,14.6,0.9795138888888889,0.146,8.6,125,467782364096,100,472.28413128852844,14.2,0.9537777777777778,0.142,10.2,126,343157447188,100,749.2740092277527,14.2,0.959449074074074,0.142,10.2,127,534371422464,100,724.3036868572235,14.4,0.9699537037037038,0.144,10.4,128,574418538297,100,661.2188904285431,14.4,0.9757685185185185,0.144,12.6,129,773880189679,100,638.5640089511871,3245.644726753235,749.3500530719757
26,162,16.2,5,2,12,14,12,14,11,12,9,10,12,14,9,10,0,0,0,0,0,0,0,0,6.32,8.92,0.9556805555555554,0.08919999999999999,5,8.8,0.9288194444444442,0.088,6.8,85,467782364096,100,750.5621259212494,8.8,0.9414814814814813,0.088,7.0,86,343157447188,100,713.0893723964691,9.0,0.971597222222222,0.09,6.0,87,534371422464,100,603.9556241035461,9.0,0.968935185185185,0.09,6.4,88,574418538297,100,623.389429807663,9.0,0.9675694444444444,0.09,5.4,89,773880189679,100,629.8950364589691,3320.8915886878967,0.0013380050659179688
27,199,19.9,5,2,12,14,12,14,11,14,11,12,12,13,12,14,9,10,0,0,0,0,0,0,9.08,12.0,0.9375714285714283,0.12,5,12.0,0.9468849206349204,0.12,8.2,5,467782364096,100,355.85581612586975,12.0,0.9260515873015871,0.12,9.8,6,343157447188,100,411.2564859390259,12.0,0.9422883597883596,0.12,8.8,7,534371422464,100,356.2741322517395,12.0,0.9359060846560844,0.12,9.2,8,574418538297,100,383.400470495224,12.0,0.9367261904761902,0.12,9.4,9,773880189679,100,402.3249566555023,1909.1118614673615,0.0009515285491943359
