,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,sequential_execution_time,execution_time,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3
0,39,3.9,12,0,19,20,10,13,10,16,16,21,14,21,10,15,9,18,13,19,14,17,10,13,11.5,13.583333333333334,0.9663182539682538,0.27166666666666667,1,13.583333333333334,0.9663182539682538,0.27166666666666667,11.5,5,314525237323,50,744.4514737129211,744.4514737129211,786.5088665485382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,98,9.8,12,0,14,21,16,18,14,21,10,12,9,14,11,21,14,16,13,17,11,14,0,0,14.833333333333334,15.916666666666666,0.966719503233392,0.31833333333333336,1,15.916666666666666,0.966719503233392,0.31833333333333336,14.833333333333334,15,314525237323,50,593.0275640487671,593.0275640487671,612.7452561855316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,39,3.9,12,0,9,20,17,21,13,19,16,21,13,15,19,21,16,21,18,21,10,19,9,20,12.833333333333334,16.75,0.9721868827160494,0.335,1,16.75,0.9721868827160494,0.335,12.833333333333334,25,314525237323,50,610.206657409668,610.206657409668,658.2354962825775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,177,17.7,12,0,9,11,16,21,16,21,10,17,14,17,19,21,12,13,12,21,15,17,0,0,11.083333333333334,15.083333333333334,0.9575891142465215,0.3016666666666667,1,15.083333333333334,0.9575891142465215,0.3016666666666667,11.083333333333334,35,314525237323,50,572.8330435752869,572.8330435752869,594.1085131168365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,161,16.1,12,0,17,21,18,21,15,21,15,21,15,19,11,20,11,13,9,16,9,11,0,0,12.5,17.916666666666668,0.9727418920242992,0.35833333333333334,1,17.916666666666668,0.9727418920242992,0.35833333333333334,12.5,45,314525237323,50,591.4399497509003,591.4399497509003,628.692574262619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,119,11.9,12,0,13,15,13,18,12,18,10,19,17,19,13,21,12,13,15,19,14,21,0,0,14.583333333333334,17.666666666666668,0.9762091416813637,0.35333333333333333,1,17.666666666666668,0.9762091416813637,0.35333333333333333,14.583333333333334,55,314525237323,50,447.68563532829285,447.68563532829285,559.8006842136383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,153,15.3,12,0,15,19,15,21,16,19,14,16,13,16,17,21,18,21,11,19,11,21,0,0,13.083333333333334,17.75,0.9750727880658435,0.355,1,17.75,0.9750727880658435,0.355,13.083333333333334,65,314525237323,50,423.7545738220215,423.7545738220215,501.87495374679565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,179,17.9,12,0,16,18,15,21,17,21,14,21,15,17,10,13,11,18,9,14,11,18,17,21,16.333333333333332,19.666666666666668,0.965304365079365,0.3933333333333333,1,19.666666666666668,0.965304365079365,0.3933333333333333,16.333333333333332,75,314525237323,50,602.507392168045,602.507392168045,644.6416115760803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,129,12.9,12,0,11,21,17,18,11,14,12,21,11,12,10,20,17,21,10,21,16,17,0,0,16.583333333333332,20.25,0.9660427734131436,0.405,1,20.25,0.9660427734131436,0.405,16.583333333333332,85,314525237323,50,548.2332499027252,548.2332499027252,576.9924364089966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,93,9.3,12,0,10,19,18,21,12,17,15,20,18,21,10,11,11,12,10,11,0,0,0,0,7.583333333333333,10.5,0.9529876543209875,0.21,1,10.5,0.9529876543209875,0.21,7.583333333333333,95,314525237323,50,620.4950833320618,620.4950833320618,669.5544509887695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,125,12.5,12,0,9,19,12,17,18,21,10,12,13,21,15,21,12,19,15,17,19,21,10,19,14.75,21.75,0.9657164682539683,0.435,1,21.75,0.9657164682539683,0.435,14.75,105,314525237323,50,630.3347537517548,630.3347537517548,664.1941554546356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,43,4.3,12,0,12,21,12,20,18,21,17,21,15,16,15,21,17,20,18,21,0,0,0,0,9.416666666666666,11.0,0.9624913194444443,0.22,1,11.0,0.9624913194444443,0.22,9.416666666666666,115,314525237323,50,572.4108755588531,572.4108755588531,576.8806912899017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,179,17.9,12,1,16,21,17,21,12,21,14,21,13,15,10,13,15,21,9,14,10,18,9,20,19.583333333333332,25.25,0.9707810505852172,0.505,1,25.25,0.9707810505852172,0.505,19.583333333333332,125,314525237323,50,561.9680550098419,561.9680550098419,583.9888639450073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,39,3.9,12,1,9,10,14,21,17,21,16,20,14,16,19,21,12,21,18,21,10,17,17,21,9.583333333333334,12.5,0.9742271825396823,0.25,1,12.5,0.9742271825396823,0.25,9.583333333333334,135,314525237323,50,613.4564487934113,613.4564487934113,784.7108769416809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,39,3.9,12,1,19,20,10,13,10,16,16,21,14,21,10,15,9,18,13,19,14,17,10,13,11.5,13.583333333333334,0.9663182539682538,0.27166666666666667,1,13.583333333333334,0.9663182539682538,0.27166666666666667,11.5,5,314525237323,50,744.4514737129211,744.4514737129211,0.0012373924255371094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,43,4.3,12,1,12,21,12,20,18,21,17,21,15,16,15,21,17,20,18,21,0,0,0,0,9.416666666666666,11.0,0.9624913194444443,0.22,1,11.0,0.9624913194444443,0.22,9.416666666666666,115,314525237323,50,572.4108755588531,572.4108755588531,0.0008702278137207031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,98,9.8,12,1,14,21,16,18,14,21,10,12,9,14,11,21,19,20,14,16,13,17,11,13,11.25,16.0,0.9635505952380949,0.32,1,16.0,0.9635505952380949,0.32,11.25,145,314525237323,50,603.6117551326752,603.6117551326752,629.050146818161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,119,11.9,12,1,13,15,13,19,12,18,10,19,17,19,13,21,12,13,15,19,14,21,0,0,16.5,18.083333333333332,0.982630376739173,0.3616666666666667,1,18.083333333333332,0.982630376739173,0.3616666666666667,16.5,155,314525237323,50,423.0703082084656,423.0703082084656,549.4537813663483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,153,15.3,12,1,15,19,15,21,16,19,14,16,13,16,17,21,18,21,12,20,11,21,0,0,11.5,17.833333333333332,0.9732896090534978,0.3566666666666667,1,17.833333333333332,0.9732896090534978,0.3566666666666667,11.5,165,314525237323,50,426.59003615379333,426.59003615379333,459.4752609729767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,161,16.1,12,1,17,21,18,21,15,21,15,21,15,19,11,20,11,13,9,16,9,11,0,0,12.5,17.916666666666668,0.9727418920242992,0.35833333333333334,1,17.916666666666668,0.9727418920242992,0.35833333333333334,12.5,45,314525237323,50,591.4399497509003,591.4399497509003,0.0011260509490966797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,38,3.8,12,1,12,21,10,18,18,21,17,21,14,20,10,19,9,12,14,20,0,0,0,0,11.416666666666666,13.833333333333334,0.9736250964506172,0.27666666666666667,1,13.833333333333334,0.9736250964506172,0.27666666666666667,11.416666666666666,175,314525237323,50,632.1113002300262,632.1113002300262,711.0068860054016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,43,4.3,12,1,18,19,11,14,11,16,16,21,15,16,14,18,17,21,13,19,17,20,10,13,7.166666666666667,10.833333333333334,0.9800087962962962,0.21666666666666667,1,10.833333333333334,0.9800087962962962,0.21666666666666667,7.166666666666667,185,314525237323,50,449.13791823387146,449.13791823387146,669.963536977768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
