,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,sequential_execution_time,execution_time,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3
0,131,13.1,5,0,9,12,10,14,9,13,11,13,9,11,9,11,10,12,0,0,0,0,0,0,16.0,18.0,0.951676587301587,0.18,1,18.0,0.951676587301587,0.18,16.0,8,257018638879,100,283.6141610145569,283.6141610145569,284.0368628501892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,4.3,5,0,11,14,11,12,9,13,9,13,12,14,10,13,12,14,0,0,0,0,0,0,10.8,13.8,0.9679662698412698,0.138,1,13.8,0.9679662698412698,0.138,10.8,18,257018638879,100,231.3834569454193,231.3834569454193,283.46679043769836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,139,13.9,5,0,12,14,12,14,11,12,11,13,9,11,12,13,9,13,11,14,0,0,0,0,15.0,16.6,0.9672019675925925,0.166,1,16.6,0.9672019675925925,0.166,15.0,28,257018638879,100,196.4100329875946,196.4100329875946,235.85972690582275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34,3.4,5,0,9,10,9,12,11,14,10,13,9,12,9,13,9,10,9,13,0,0,0,0,12.0,14.4,0.9783072916666666,0.144,1,14.4,0.9783072916666666,0.144,12.0,38,257018638879,100,254.4221215248108,254.4221215248108,377.95307207107544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30,3.0,5,0,11,12,11,14,12,14,12,14,11,14,10,11,9,11,0,0,0,0,0,0,5.4,9.0,0.9555026455026453,0.09,1,9.0,0.9555026455026453,0.09,5.4,48,257018638879,100,244.3117413520813,244.3117413520813,307.31085681915283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,184,18.4,5,0,11,13,9,12,9,12,10,12,12,14,9,11,9,11,0,0,0,0,0,0,15.0,16.0,0.9530886243386243,0.16,1,16.0,0.9530886243386243,0.16,15.0,58,257018638879,100,237.98096418380737,237.98096418380737,268.0380690097809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,153,15.3,5,0,11,12,9,11,9,10,9,12,10,12,12,14,10,13,9,10,0,0,0,0,10.6,15.0,0.9700636574074074,0.15,1,15.0,0.9700636574074074,0.15,10.6,68,257018638879,100,188.14976572990417,188.14976572990417,240.19290590286255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,66,6.6,5,0,12,14,10,12,11,14,10,14,12,14,10,14,11,14,12,14,0,0,0,0,17.2,18.0,0.9703587962962963,0.18,1,18.0,0.9703587962962963,0.18,17.2,78,257018638879,100,223.5612404346466,223.5612404346466,316.90953540802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,52,5.2,5,0,10,14,9,13,11,12,12,13,10,14,11,12,9,12,12,14,11,14,0,0,13.6,17.4,0.9532947530864195,0.174,1,17.4,0.9532947530864195,0.174,13.6,88,257018638879,100,271.54393005371094,271.54393005371094,323.9410150051117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,160,16.0,5,0,10,14,9,13,11,13,9,10,11,13,11,14,10,11,11,13,9,12,12,14,23.2,23.6,0.9690717592592593,0.236,1,23.6,0.9690717592592593,0.236,23.2,98,257018638879,100,263.17824721336365,263.17824721336365,296.52546882629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,60,6.0,5,0,12,13,12,14,12,14,11,13,9,11,11,14,12,14,10,14,9,11,11,13,12.2,17.4,0.9684120370370369,0.174,1,17.4,0.9684120370370369,0.174,12.2,108,257018638879,100,287.5625545978546,287.5625545978546,325.66072940826416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,131,13.1,5,0,9,11,10,11,12,13,9,12,12,14,10,12,11,13,11,12,0,0,0,0,11.6,13.4,0.9524189814814814,0.134,1,13.4,0.9524189814814814,0.134,11.6,118,257018638879,100,227.78828525543213,227.78828525543213,250.1534674167633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,184,18.4,5,1,9,12,9,13,10,12,12,14,9,11,9,11,0,0,0,0,0,0,0,0,12.6,15.0,0.9487885802469135,0.15,1,15.0,0.9487885802469135,0.15,12.6,128,257018638879,100,231.912682056427,231.912682056427,253.87529635429382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,30,3.0,5,1,11,13,11,14,12,14,12,14,11,14,10,11,9,11,0,0,0,0,0,0,7.4,9.6,0.9602513227513226,0.096,1,9.6,0.9602513227513226,0.096,7.4,138,257018638879,100,255.46903777122498,255.46903777122498,378.0958912372589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,153,15.3,5,1,12,14,10,12,9,12,10,12,12,13,10,14,11,12,0,0,0,0,0,0,10.8,15.0,0.9706216931216931,0.15,1,15.0,0.9706216931216931,0.15,10.8,148,257018638879,100,167.2710771560669,167.2710771560669,249.29371905326843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,65,6.5,5,1,11,12,9,11,9,10,9,12,10,13,12,14,10,13,11,13,9,12,0,0,15.4,16.2,0.966656378600823,0.162,1,16.2,0.966656378600823,0.162,15.4,158,257018638879,100,272.05123686790466,272.05123686790466,353.61483883857727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,131,13.1,5,1,9,11,10,14,12,13,9,11,12,14,10,11,9,11,9,11,10,11,0,0,12.4,16.4,0.9703086419753085,0.164,1,16.4,0.9703086419753085,0.164,12.4,168,257018638879,100,215.56076097488403,215.56076097488403,298.6476676464081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,160,16.0,5,1,10,14,10,12,9,10,11,13,11,14,10,12,10,13,12,14,0,0,0,0,14.0,18.8,0.9624508101851852,0.188,1,18.8,0.9624508101851852,0.188,14.0,178,257018638879,100,249.35711407661438,249.35711407661438,249.51964259147644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,59,5.9,5,1,12,13,9,12,12,13,11,13,9,11,10,14,12,14,10,13,10,12,11,13,13.8,17.2,0.9663194444444443,0.172,1,17.2,0.9663194444444443,0.172,13.8,188,257018638879,100,314.3107199668884,314.3107199668884,335.03946018218994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,131,13.1,5,1,9,10,12,13,11,12,9,12,12,14,10,12,9,11,11,12,0,0,0,0,7.6,12.4,0.9491435185185184,0.124,1,12.4,0.9491435185185184,0.124,7.6,198,257018638879,100,252.4210364818573,252.4210364818573,252.6806333065033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,132,13.2,5,1,9,12,10,13,9,13,10,13,11,14,9,13,9,11,12,14,0,0,0,0,17.6,23.2,0.9703703703703703,0.232,1,23.2,0.9703703703703703,0.232,17.6,208,257018638879,100,233.7472734451294,233.7472734451294,305.2577474117279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,64,6.4,5,1,9,14,10,12,10,13,12,13,10,11,11,13,9,13,0,0,0,0,0,0,11.6,15.0,0.9647876984126984,0.15,1,15.0,0.9647876984126984,0.15,11.6,218,257018638879,100,222.61688137054443,222.61688137054443,283.5661611557007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,160,16.0,5,1,10,14,9,13,11,13,9,10,11,13,11,14,10,11,11,13,9,12,12,14,23.2,23.6,0.9690717592592593,0.236,1,23.6,0.9690717592592593,0.236,23.2,98,257018638879,100,263.17824721336365,263.17824721336365,0.0015196800231933594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,66,6.6,5,1,12,14,10,12,11,14,10,14,12,14,10,14,11,14,12,14,0,0,0,0,17.2,18.0,0.9703587962962963,0.18,1,18.0,0.9703587962962963,0.18,17.2,78,257018638879,100,223.5612404346466,223.5612404346466,0.0010807514190673828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,183,18.3,5,2,12,14,9,13,10,13,12,14,10,12,9,11,9,11,0,0,0,0,0,0,15.2,17.0,0.9537070105820105,0.17,1,17.0,0.9537070105820105,0.17,15.2,228,257018638879,100,235.75204420089722,235.75204420089722,266.9753088951111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,131,13.1,5,2,9,10,9,11,12,14,9,11,11,12,0,0,0,0,0,0,0,0,0,0,6.4,7.6,0.9683888888888887,0.076,1,7.6,0.9683888888888887,0.076,6.4,238,257018638879,100,172.3378791809082,172.3378791809082,241.26686191558838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,184,18.4,5,2,9,12,9,13,10,12,12,14,9,11,9,11,0,0,0,0,0,0,0,0,12.6,15.0,0.9487885802469135,0.15,1,15.0,0.9487885802469135,0.15,12.6,128,257018638879,100,231.912682056427,231.912682056427,0.0014538764953613281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,184,18.4,5,2,11,13,9,12,9,12,10,12,12,14,9,11,9,11,0,0,0,0,0,0,15.0,16.0,0.9530886243386243,0.16,1,16.0,0.9530886243386243,0.16,15.0,58,257018638879,100,237.98096418380737,237.98096418380737,0.0010938644409179688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,131,13.1,5,2,10,11,12,13,10,11,12,14,10,11,9,11,0,0,0,0,0,0,0,0,5.8,7.8,0.9660648148148147,0.078,1,7.8,0.9660648148148147,0.078,5.8,248,257018638879,100,157.16404557228088,157.16404557228088,202.09145426750183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,3.0,5,2,9,10,11,13,12,14,12,14,9,12,11,13,10,11,9,11,0,0,0,0,7.6,9.2,0.9352893518518517,0.092,1,9.2,0.9352893518518517,0.092,7.6,258,257018638879,100,325.4916024208069,325.4916024208069,325.71261286735535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,184,18.4,5,2,9,12,9,13,10,12,12,14,9,11,9,11,0,0,0,0,0,0,0,0,12.6,15.0,0.9487885802469135,0.15,1,15.0,0.9487885802469135,0.15,12.6,128,257018638879,100,231.912682056427,231.912682056427,0.0014529228210449219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,184,18.4,5,2,9,12,9,13,10,12,11,14,9,11,9,11,0,0,0,0,0,0,0,0,11.4,16.0,0.9514506172839505,0.16,1,16.0,0.9514506172839505,0.16,11.4,268,257018638879,100,231.41901850700378,231.41901850700378,268.03555822372437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,30,3.0,5,2,11,14,12,14,12,14,11,14,10,11,9,11,0,0,0,0,0,0,0,0,6.2,8.2,0.9675925925925926,0.082,1,8.2,0.9675925925925926,0.082,6.2,278,257018638879,100,219.9726207256317,219.9726207256317,325.7855455875397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
