,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,sequential_execution_time,execution_time,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1
11,1,128,12.8,12,0,3.8333333333333335,4.833333333333333,0.9816203703703704,0.09666666666666666,1,4.833333333333333,0.9816203703703704,0.09666666666666666,3.8333333333333335,118,257018638879,50,93.43562722206116,93.43562722206116,93.60430860519409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,39,3.9,12,1,8.25,10.166666666666666,0.9835802469135801,0.20333333333333334,1,10.166666666666666,0.9835802469135801,0.20333333333333334,8.25,128,257018638879,50,226.33313727378845,226.33313727378845,263.4420557022095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8,97,9.7,12,1,29.0,36.75,0.986490162037037,0.735,1,36.75,0.986490162037037,0.735,29.0,138,257018638879,50,316.0149314403534,316.0149314403534,352.4378068447113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,86,8.6,12,1,3.0,4.5,0.9911342592592592,0.09,1,4.5,0.9911342592592592,0.09,3.0,88,257018638879,50,51.12324595451355,51.12324595451355,0.0019402503967285156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,198,19.8,12,1,4.333333333333333,5.166666666666667,0.9849768518518518,0.10333333333333333,1,5.166666666666667,0.9849768518518518,0.10333333333333333,4.333333333333333,148,257018638879,50,60.89927124977112,60.89927124977112,84.58911061286926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,103,10.3,12,1,3.9166666666666665,4.666666666666667,0.9899768518518518,0.09333333333333334,1,4.666666666666667,0.9899768518518518,0.09333333333333334,3.9166666666666665,158,257018638879,50,61.644700050354004,61.644700050354004,98.18755316734314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,14,1.4,12,1,2.0833333333333335,2.0,0.9949305555555557,0.04,1,2.0,0.9949305555555557,0.04,2.0833333333333335,168,257018638879,50,71.21968388557434,71.21968388557434,148.64286279678345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,173,17.3,12,1,12.833333333333334,15.25,0.9909336419753085,0.305,1,15.25,0.9909336419753085,0.305,12.833333333333334,178,257018638879,50,127.55223059654236,127.55223059654236,172.5476634502411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6,47,4.7,12,1,17.583333333333332,22.083333333333332,0.9884876543209877,0.44166666666666665,1,22.083333333333332,0.9884876543209877,0.44166666666666665,17.583333333333332,108,257018638879,50,309.5908410549164,309.5908410549164,0.0018875598907470703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,97,9.7,12,1,7.166666666666667,9.083333333333334,0.992037037037037,0.18166666666666667,1,9.083333333333334,0.992037037037037,0.18166666666666667,7.166666666666667,188,257018638879,50,81.58881258964539,81.58881258964539,166.4115869998932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
