,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,sequential_execution_time,execution_time,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2
0,136,13.6,5,0,11,12,9,11,9,13,11,12,10,13,11,14,10,11,9,12,9,11,12,13,15.4,20.4,0.9674282407407407,0.204,1,20.4,0.9674282407407407,0.204,15.4,1,708682768404,100,447.42042207717896,447.42042207717896,512.5653667449951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,86,8.6,5,0,9,13,12,14,9,12,12,14,11,14,10,11,9,11,11,13,0,0,0,0,15.0,16.4,0.9583217592592592,0.164,1,16.4,0.9583217592592592,0.164,15.0,6,708682768404,100,421.9115426540375,421.9115426540375,483.6905450820923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,173,17.3,5,0,10,13,11,13,11,12,9,11,10,12,12,13,12,14,11,14,12,14,0,0,15.8,18.0,0.9627880658436213,0.18,1,18.0,0.9627880658436213,0.18,15.8,11,708682768404,100,316.18028712272644,316.18028712272644,403.75865626335144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,43,4.3,5,0,9,12,12,14,9,10,10,11,9,11,9,10,10,14,0,0,0,0,0,0,8.0,10.2,0.967873677248677,0.102,1,10.2,0.967873677248677,0.102,8.0,16,708682768404,100,355.5576593875885,355.5576593875885,458.71899461746216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,195,19.5,5,0,9,11,10,11,10,11,11,14,12,14,10,12,11,12,0,0,0,0,0,0,11.2,12.0,0.9505753968253966,0.12,1,12.0,0.9505753968253966,0.12,11.2,21,708682768404,100,330.0583145618439,330.0583145618439,347.18832325935364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,82,8.2,5,0,11,14,10,11,11,12,9,11,9,10,0,0,0,0,0,0,0,0,0,0,4.6,6.8,0.9064814814814813,0.068,1,6.8,0.9064814814814813,0.068,4.6,26,708682768404,100,397.66868114471436,397.66868114471436,397.6890482902527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,128,12.8,5,0,12,14,10,11,9,11,12,14,9,10,10,12,9,12,10,11,0,0,0,0,13.6,13.2,0.9661863425925923,0.132,1,13.2,0.9661863425925923,0.132,13.6,31,708682768404,100,366.6231596469879,366.6231596469879,510.63008642196655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,180,18.0,5,0,12,14,9,10,12,14,11,14,9,11,9,10,0,0,0,0,0,0,0,0,8.4,11.0,0.9528780864197529,0.11,1,11.0,0.9528780864197529,0.11,8.4,36,708682768404,100,330.8886606693268,330.8886606693268,347.3016183376312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,109,10.9,5,0,12,13,10,14,10,11,12,14,11,12,0,0,0,0,0,0,0,0,0,0,6.6,8.6,0.9780138888888888,0.086,1,8.6,0.9780138888888888,0.086,6.6,41,708682768404,100,197.11158156394958,197.11158156394958,280.9662992954254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,151,15.1,5,0,10,12,12,13,11,14,10,14,12,14,10,14,12,13,10,14,9,10,12,14,14.8,24.0,0.9638263888888889,0.24,1,24.0,0.9638263888888889,0.24,14.8,46,708682768404,100,371.7415690422058,371.7415690422058,475.5355107784271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
