,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3
0,59,5.9,12,0,10,21,11,12,16,18,19,21,18,21,17,21,19,21,17,21,0,0,0,0,6.916666666666667,9.75,0.9695607112794611,0.0975,1,9.75,0.9695607112794611,0.0975,6.916666666666667,0,502805748326,100,791.4820539951324,791.4820539951324,850.3668892383575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,5.6,12,0,18,21,14,16,11,15,12,21,14,19,16,21,14,16,15,21,10,21,11,13,13.333333333333334,15.916666666666666,0.9710474046015711,0.15916666666666668,1,15.916666666666666,0.9710474046015711,0.15916666666666668,13.333333333333334,5,502805748326,100,929.565512418747,929.565512418747,983.1169335842133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,135,13.5,12,0,11,20,9,12,18,21,19,21,14,20,11,13,13,17,19,21,12,13,9,18,13.583333333333334,16.666666666666668,0.9823132716049381,0.16666666666666666,1,16.666666666666668,0.9823132716049381,0.16666666666666666,13.583333333333334,10,502805748326,100,705.3722875118256,705.3722875118256,833.8836705684662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,180,18.0,12,0,18,21,11,13,15,18,10,18,16,21,14,19,9,18,12,21,11,20,0,0,17.5,22.416666666666668,0.9694471879286694,0.22416666666666665,1,22.416666666666668,0.9694471879286694,0.22416666666666665,17.5,15,502805748326,100,829.8269181251526,829.8269181251526,917.5043661594391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,191,19.1,12,0,16,21,13,15,17,21,18,21,17,21,12,20,18,21,10,13,0,0,0,0,8.583333333333334,13.5,0.9582390046296296,0.135,1,13.5,0.9582390046296296,0.135,8.583333333333334,20,502805748326,100,908.5793218612671,908.5793218612671,975.9441912174225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,154,15.4,12,0,13,17,11,16,10,16,10,16,12,13,16,21,12,17,0,0,0,0,0,0,10.0,13.25,0.9736415343915343,0.1325,1,13.25,0.9736415343915343,0.1325,10.0,25,502805748326,100,623.7954254150391,623.7954254150391,733.8139171600342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,84,8.4,12,0,19,21,11,20,18,20,14,18,9,20,17,21,13,19,17,21,13,21,19,21,14.833333333333334,19.166666666666668,0.9730893308080807,0.19166666666666668,1,19.166666666666668,0.9730893308080807,0.19166666666666668,14.833333333333334,30,502805748326,100,683.1639223098755,683.1639223098755,792.095538854599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,116,11.6,12,0,19,21,9,13,11,17,19,21,10,16,9,20,11,16,11,17,16,21,12,21,16.916666666666668,22.0,0.9779110690235688,0.22,1,22.0,0.9779110690235688,0.22,16.916666666666668,35,502805748326,100,810.768520116806,810.768520116806,875.5739884376526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,2.0,12,0,10,20,15,18,9,19,13,18,10,11,12,21,10,14,17,21,9,14,0,0,7.333333333333333,11.083333333333334,0.9776147119341564,0.11083333333333334,1,11.083333333333334,0.9776147119341564,0.11083333333333334,7.333333333333333,40,502805748326,100,1017.7294661998749,1017.7294661998749,1065.6137008666992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,190,19.0,12,0,12,14,12,21,18,19,14,19,17,21,12,13,12,18,19,21,10,21,0,0,13.666666666666666,17.333333333333332,0.9576915606684123,0.17333333333333334,1,17.333333333333332,0.9576915606684123,0.17333333333333334,13.666666666666666,45,502805748326,100,827.8136441707611,827.8136441707611,827.8213448524475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,109,10.9,12,0,15,21,14,21,15,21,9,11,17,21,12,21,10,11,15,21,0,0,0,0,11.75,15.916666666666666,0.9762493110670194,0.15916666666666668,1,15.916666666666666,0.9762493110670194,0.15916666666666668,11.75,50,502805748326,100,805.8881487846375,805.8881487846375,847.2108325958252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,83,8.3,12,0,10,14,16,21,10,18,18,21,16,21,18,21,19,21,0,0,0,0,0,0,8.5,11.083333333333334,0.9850515873015872,0.11083333333333334,1,11.083333333333334,0.9850515873015872,0.11083333333333334,8.5,55,502805748326,100,557.6014115810394,557.6014115810394,748.1303761005402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,56,5.6,12,1,18,21,11,15,12,21,14,19,15,21,15,21,11,16,0,0,0,0,0,0,9.166666666666666,12.333333333333334,0.9722612433862434,0.12333333333333334,1,12.333333333333334,0.9722612433862434,0.12333333333333334,9.166666666666666,60,502805748326,100,780.9764597415924,780.9764597415924,782.6079466342926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,154,15.4,12,1,13,21,14,15,11,15,10,15,10,16,12,19,14,16,12,21,12,13,0,0,13.75,17.916666666666668,0.9758304796198315,0.17916666666666667,1,17.916666666666668,0.9758304796198315,0.17916666666666667,13.75,65,502805748326,100,651.1126730442047,651.1126730442047,752.319267988205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,59,5.9,12,1,10,21,11,12,16,18,19,21,18,21,17,21,19,21,17,21,0,0,0,0,6.916666666666667,9.75,0.9695607112794611,0.0975,1,9.75,0.9695607112794611,0.0975,6.916666666666667,0,502805748326,100,791.4820539951324,791.4820539951324,0.0006799697875976562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,59,5.9,12,1,10,21,11,12,16,18,19,21,18,21,17,21,19,21,17,21,0,0,0,0,6.916666666666667,9.75,0.9695607112794611,0.0975,1,9.75,0.9695607112794611,0.0975,6.916666666666667,0,502805748326,100,791.4820539951324,791.4820539951324,0.0005159378051757812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,195,19.5,12,1,12,13,12,21,10,15,17,21,12,17,19,21,9,20,0,0,0,0,0,0,12.5,15.833333333333334,0.9596701739618406,0.15833333333333333,1,15.833333333333334,0.9596701739618406,0.15833333333333333,12.5,70,502805748326,100,718.6785957813263,718.6785957813263,789.2778840065002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,76,7.6,12,1,13,17,15,21,10,18,18,21,16,21,18,21,19,21,0,0,0,0,0,0,10.166666666666666,11.166666666666666,0.981924603174603,0.11166666666666666,1,11.166666666666666,0.981924603174603,0.11166666666666666,10.166666666666666,75,502805748326,100,483.46275877952576,483.46275877952576,568.0576183795929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,15,1.5,12,1,18,21,11,14,9,18,12,20,14,19,9,18,10,15,0,0,0,0,0,0,5.583333333333333,7.833333333333333,0.9657925485008818,0.07833333333333334,1,7.833333333333333,0.9657925485008818,0.07833333333333334,5.583333333333333,80,502805748326,100,1047.5656690597534,1047.5656690597534,1047.5711810588837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,185,18.5,12,1,9,19,15,16,14,17,10,15,9,14,12,21,13,17,17,21,16,21,9,17,18.583333333333332,22.666666666666668,0.9696644290123455,0.22666666666666666,1,22.666666666666668,0.9696644290123455,0.22666666666666666,18.583333333333332,85,502805748326,100,904.3908560276031,904.3908560276031,963.2701275348663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,109,10.9,12,1,15,21,14,21,15,21,9,11,17,21,12,21,10,11,15,21,0,0,0,0,11.75,15.916666666666666,0.9762493110670194,0.15916666666666668,1,15.916666666666666,0.9762493110670194,0.15916666666666668,11.75,50,502805748326,100,805.8881487846375,805.8881487846375,0.0006823539733886719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,109,10.9,12,1,15,21,14,21,15,21,9,11,17,21,12,21,10,11,15,21,0,0,0,0,11.75,15.916666666666666,0.9762493110670194,0.15916666666666668,1,15.916666666666666,0.9762493110670194,0.15916666666666668,11.75,50,502805748326,100,805.8881487846375,805.8881487846375,0.0005478858947753906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,154,15.4,12,1,13,17,13,14,11,16,10,16,16,21,12,13,12,17,0,0,0,0,0,0,9.25,11.25,0.9727076719576715,0.1125,1,11.25,0.9727076719576715,0.1125,9.25,90,502805748326,100,544.6413905620575,544.6413905620575,668.5743408203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,180,18.0,12,1,18,21,15,17,10,18,9,13,13,18,14,21,9,18,12,21,11,20,0,0,18.5,23.583333333333332,0.9701997232020381,0.23583333333333334,1,23.583333333333332,0.9701997232020381,0.23583333333333334,18.5,95,502805748326,100,873.6349830627441,873.6349830627441,873.64346575737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,15,1.5,12,2,11,15,11,14,9,10,14,21,15,20,9,18,10,15,0,0,0,0,0,0,3.8333333333333335,6.166666666666667,0.9676316137566136,0.06166666666666667,1,6.166666666666667,0.9676316137566136,0.06166666666666667,3.8333333333333335,100,502805748326,100,1035.4821734428406,1035.4821734428406,1319.0924565792084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,190,19.0,12,2,18,19,12,21,18,21,11,15,17,21,10,11,12,18,19,21,10,21,0,0,13.666666666666666,17.333333333333332,0.9545458442449183,0.17333333333333334,1,17.333333333333332,0.9545458442449183,0.17333333333333334,13.666666666666666,105,502805748326,100,971.8113601207733,971.8113601207733,971.8168249130249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,195,19.5,12,2,12,19,12,13,17,18,10,15,17,21,18,21,9,20,0,0,0,0,0,0,10.416666666666666,13.583333333333334,0.9603025235346664,0.13583333333333333,1,13.583333333333334,0.9603025235346664,0.13583333333333333,10.416666666666666,110,502805748326,100,782.5935764312744,782.5935764312744,782.6019985675812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,191,19.1,12,2,16,17,13,21,17,21,18,21,17,21,12,20,11,15,18,21,10,13,0,0,11.666666666666666,16.083333333333332,0.9625180041152264,0.16083333333333333,1,16.083333333333332,0.9625180041152264,0.16083333333333333,11.666666666666666,115,502805748326,100,893.7356050014496,893.7356050014496,981.569783449173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,56,5.6,12,2,18,21,14,15,11,15,12,21,13,18,12,19,18,19,15,21,10,20,11,13,11.166666666666666,16.0,0.9749852954144618,0.16,1,16.0,0.9749852954144618,0.16,11.166666666666666,120,502805748326,100,804.1835343837738,804.1835343837738,1070.0698354244232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,59,5.9,12,2,9,20,11,12,15,17,19,21,13,21,17,21,19,21,16,21,0,0,0,0,8.166666666666666,11.75,0.9734775094696968,0.1175,1,11.75,0.9734775094696968,0.1175,8.166666666666666,125,502805748326,100,776.6295621395111,776.6295621395111,901.0162646770477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,190,19.0,12,2,12,15,12,21,18,21,14,19,16,17,9,10,11,16,19,21,10,20,0,0,12.583333333333334,16.5,0.9520229766803838,0.165,1,16.5,0.9520229766803838,0.165,12.583333333333334,130,502805748326,100,1022.2006144523621,1022.2006144523621,1022.2092802524567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20,2.0,12,2,10,19,15,19,9,10,12,17,10,13,12,21,12,16,17,21,9,14,0,0,5.833333333333333,9.75,0.9679806241426611,0.0975,1,9.75,0.9679806241426611,0.0975,5.833333333333333,135,502805748326,100,1107.9754378795624,1107.9754378795624,1349.2505011558533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,185,18.5,12,2,18,21,11,12,15,17,10,18,16,21,12,17,9,18,11,21,17,21,0,0,16.75,19.916666666666668,0.9654432441700957,0.19916666666666666,1,19.916666666666668,0.9654432441700957,0.19916666666666666,16.75,140,502805748326,100,874.5584003925323,874.5584003925323,916.2206220626831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,53,5.3,12,2,10,21,11,12,16,18,18,21,18,21,17,21,19,21,10,21,0,0,0,0,10.416666666666666,11.916666666666666,0.9662255366161614,0.11916666666666667,1,11.916666666666666,0.9662255366161614,0.11916666666666667,10.416666666666666,145,502805748326,100,882.8221871852875,882.8221871852875,1016.5034282207489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,179,17.9,12,2,18,21,11,14,18,19,12,20,16,20,14,19,9,17,12,20,10,14,0,0,13.166666666666666,18.5,0.9681118827160492,0.185,1,18.5,0.9681118827160492,0.185,13.166666666666666,150,502805748326,100,783.2755868434906,783.2755868434906,877.2476432323456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,21,2.1,12,2,12,14,12,21,9,17,14,19,11,17,10,21,0,0,0,0,0,0,0,0,6.833333333333333,9.0,0.9580317877852601,0.09,1,9.0,0.9580317877852601,0.09,6.833333333333333,155,502805748326,100,902.1518149375916,902.1518149375916,951.2517569065094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,191,19.1,12,3,16,18,12,14,16,20,18,21,16,21,17,21,10,13,0,0,0,0,0,0,8.25,9.666666666666666,0.9533882275132273,0.09666666666666666,1,9.666666666666666,0.9533882275132273,0.09666666666666666,8.25,160,502805748326,100,838.9154894351959,838.9154894351959,850.2835011482239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,15,1.5,12,3,10,18,11,14,9,10,15,21,15,20,12,20,9,18,10,15,0,0,0,0,5.333333333333333,8.5,0.9742465277777776,0.085,1,8.5,0.9742465277777776,0.085,5.333333333333333,165,502805748326,100,1048.0942585468292,1048.0942585468292,1275.7391331195831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,16,1.6,12,3,10,19,15,21,9,10,12,17,9,10,12,21,12,13,16,21,17,21,9,18,7.416666666666667,9.666666666666666,0.9608189814814816,0.09666666666666666,1,9.666666666666666,0.9608189814814816,0.09666666666666666,7.416666666666667,170,502805748326,100,1391.9115862846375,1391.9115862846375,1391.9203822612762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
