,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,9,194,19.4,1,0,28.6,45.0,0.9301728395061728,0.45,5,45.0,0.9258024691358026,0.45,37.0,0,730490964215,100,42.861953258514404,45.0,0.9287345679012345,0.45,30.0,1,540031597186,100,41.767160415649414,45.0,0.9306172839506173,0.45,21.0,2,486218438578,100,41.719446659088135,45.0,0.9207407407407407,0.45,13.0,3,265559411269,100,43.296302318573,45.0,0.9449691358024691,0.45,42.0,4,403306675110,100,38.744728565216064,208.38959121704102,43.65892195701599
1,3,104,10.4,1,0,8.6,13.2,0.9126296296296298,0.132,5,13.0,0.9019444444444445,0.13,11.0,5,730490964215,100,27.337149620056152,12.0,0.8687037037037038,0.12,6.0,6,540031597186,100,32.254581689834595,13.0,0.8969444444444444,0.13,11.0,7,486218438578,100,28.247539043426514,15.0,0.9847222222222224,0.15,5.0,8,265559411269,100,16.29727268218994,13.0,0.9108333333333333,0.13,10.0,9,403306675110,100,26.681966066360474,130.81850910186768,32.3761887550354
2,9,114,11.4,1,0,24.0,43.2,0.9485925925925927,0.43200000000000005,5,43.0,0.9397839506172839,0.43,24.0,10,730490964215,100,43.22267937660217,44.0,0.9615123456790123,0.44,22.0,11,540031597186,100,38.59502625465393,43.0,0.958179012345679,0.43,34.0,12,486218438578,100,40.53704643249512,44.0,0.9441358024691358,0.44,10.0,13,265559411269,100,41.544918060302734,42.0,0.9393518518518518,0.42,30.0,14,403306675110,100,45.452338218688965,209.35200834274292,45.455018520355225
3,8,81,8.1,1,0,23.6,34.8,0.9132152777777778,0.34800000000000003,5,34.0,0.9054861111111111,0.34,30.0,15,730490964215,100,53.90076303482056,33.0,0.8903472222222222,0.33,25.0,16,540031597186,100,56.945992946624756,35.0,0.9012500000000001,0.35,26.0,17,486218438578,100,51.70747089385986,39.0,0.9678819444444444,0.39,22.0,18,265559411269,100,33.685160398483276,33.0,0.9011111111111111,0.33,15.0,19,403306675110,100,54.66072750091553,250.90011477470398,56.94824266433716
4,8,148,14.8,1,0,24.6,39.8,0.9474097222222223,0.39799999999999996,5,40.0,0.9551736111111111,0.4,37.0,20,730490964215,100,34.968156814575195,39.0,0.9364583333333334,0.39,21.0,21,540031597186,100,39.75200319290161,40.0,0.9390625,0.4,19.0,22,486218438578,100,37.814340114593506,40.0,0.9279166666666667,0.4,18.0,23,265559411269,100,39.2204475402832,40.0,0.9784375,0.4,28.0,24,403306675110,100,31.650745153427124,183.40569281578064,39.754342555999756
5,7,159,15.9,1,0,22.2,35.0,0.9569126984126985,0.35,5,35.0,0.962936507936508,0.35,32.0,25,730490964215,100,32.11049747467041,35.0,0.9611111111111111,0.35,16.0,26,540031597186,100,30.938226461410522,35.0,0.9489285714285715,0.35,21.0,27,486218438578,100,32.789705991744995,35.0,0.9483730158730159,0.35,22.0,28,265559411269,100,33.27833795547485,35.0,0.9632142857142858,0.35,20.0,29,403306675110,100,31.36848759651184,160.48525547981262,33.281262159347534
6,5,140,14.0,1,0,17.6,24.2,0.9516,0.242,5,25.0,0.9860000000000001,0.25,22.0,30,730490964215,100,21.672157526016235,24.0,0.9571111111111111,0.24,20.0,31,540031597186,100,28.029890298843384,24.0,0.9331111111111111,0.24,13.0,32,486218438578,100,30.990549325942993,25.0,0.9524444444444444,0.25,12.0,33,265559411269,100,26.541431665420532,23.0,0.9293333333333333,0.23,21.0,34,403306675110,100,32.03274631500244,139.2667751312256,32.035961866378784
7,8,106,10.6,1,0,27.0,38.4,0.9533402777777777,0.384,5,38.0,0.9572222222222222,0.38,29.0,35,730490964215,100,36.86344289779663,38.0,0.9508680555555555,0.38,33.0,36,540031597186,100,37.93492937088013,40.0,0.9768402777777778,0.4,25.0,37,486218438578,100,30.733505487442017,40.0,0.9651388888888888,0.4,21.0,38,265559411269,100,32.433624267578125,36.0,0.9166319444444444,0.36,27.0,39,403306675110,100,46.69923377037048,184.66473579406738,46.702669620513916
8,3,63,6.3,1,0,9.8,12.0,0.9412962962962963,0.12,5,12.0,0.9630555555555556,0.12,18.0,40,730490964215,100,22.199042081832886,12.0,0.9637037037037036,0.12,5.0,41,540031597186,100,21.284571409225464,12.0,0.9550000000000001,0.12,10.0,42,486218438578,100,23.663606643676758,12.0,0.8959259259259259,0.12,6.0,43,265559411269,100,28.663859605789185,12.0,0.9287962962962962,0.12,10.0,44,403306675110,100,26.089831352233887,121.90091109275818,28.667047023773193
9,9,30,3.0,1,0,16.2,29.0,0.9238703703703705,0.29000000000000004,5,28.0,0.912469135802469,0.28,20.0,45,730490964215,100,68.03298473358154,29.0,0.9104629629629629,0.29,15.0,46,540031597186,100,66.60250973701477,28.0,0.9403703703703705,0.28,14.0,47,486218438578,100,60.323291063308716,33.0,0.9424382716049382,0.33,14.0,48,265559411269,100,55.70096731185913,27.0,0.9136111111111112,0.27,18.0,49,403306675110,100,68.8967514038086,319.55650424957275,68.90043449401855
