,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,sequential_execution_time,execution_time,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0
0,9,194,19.4,12,0,36.416666666666664,46.25,0.9857021604938273,0.4625,1,46.25,0.9857021604938273,0.4625,36.416666666666664,2,486218438578,100,642.59694480896,642.59694480896,718.6342763900757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,104,10.4,12,0,10.416666666666666,14.083333333333334,0.9902932098765432,0.14083333333333334,1,14.083333333333334,0.9902932098765432,0.14083333333333334,10.416666666666666,12,486218438578,100,200.0911545753479,200.0911545753479,406.87907886505127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,114,11.4,12,0,34.416666666666664,42.416666666666664,0.9863503086419753,0.4241666666666667,1,42.416666666666664,0.9863503086419753,0.4241666666666667,34.416666666666664,22,486218438578,100,653.8329493999481,653.8329493999481,737.4421718120575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,81,8.1,12,0,27.75,35.0,0.9853819444444445,0.35,1,35.0,0.9853819444444445,0.35,27.75,32,486218438578,100,690.114039182663,690.114039182663,762.3248720169067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,148,14.8,12,0,28.333333333333332,39.583333333333336,0.9876475694444444,0.3958333333333333,1,39.583333333333336,0.9876475694444444,0.3958333333333333,28.333333333333332,42,486218438578,100,497.80230832099915,497.80230832099915,723.1255853176117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,159,15.9,12,0,27.666666666666668,35.0,0.9832473544973546,0.35,1,35.0,0.9832473544973546,0.35,27.666666666666668,52,486218438578,100,618.0804877281189,618.0804877281189,620.0114734172821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,140,14.0,12,0,18.666666666666668,24.5,0.9869351851851853,0.245,1,24.5,0.9869351851851853,0.245,18.666666666666668,62,486218438578,100,399.09402680397034,399.09402680397034,499.5135910511017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,106,10.6,12,0,30.333333333333332,37.083333333333336,0.9843605324074074,0.37083333333333335,1,37.083333333333336,0.9843605324074074,0.37083333333333335,30.333333333333332,72,486218438578,100,698.5175015926361,698.5175015926361,698.7677948474884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,63,6.3,12,0,9.25,12.416666666666666,0.9825154320987655,0.12416666666666666,1,12.416666666666666,0.9825154320987655,0.12416666666666666,9.25,82,486218438578,100,377.20360469818115,377.20360469818115,385.9207887649536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,30,3.0,12,0,22.5,27.916666666666668,0.9903240740740742,0.2791666666666667,1,27.916666666666668,0.9903240740740742,0.2791666666666667,22.5,92,486218438578,100,775.2058103084564,775.2058103084564,1039.1408755779266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,113,11.3,12,0,17.583333333333332,18.833333333333332,0.9843229166666666,0.18833333333333332,1,18.833333333333332,0.9843229166666666,0.18833333333333332,17.583333333333332,102,486218438578,100,417.6967616081238,417.6967616081238,517.6740915775299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5,98,9.8,12,0,18.0,22.916666666666668,0.9857453703703702,0.22916666666666666,1,22.916666666666668,0.9857453703703702,0.22916666666666666,18.0,112,486218438578,100,446.3770418167114,446.3770418167114,543.6894075870514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8,106,10.6,12,1,30.333333333333332,37.083333333333336,0.9843605324074074,0.37083333333333335,1,37.083333333333336,0.9843605324074074,0.37083333333333335,30.333333333333332,72,486218438578,100,698.5175015926361,698.5175015926361,0.0013823509216308594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,96,9.6,12,1,11.166666666666666,13.75,0.985679012345679,0.1375,1,13.75,0.985679012345679,0.1375,11.166666666666666,122,486218438578,100,301.733193397522,301.733193397522,378.3229112625122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,114,11.4,12,1,35.916666666666664,47.5,0.9846782407407406,0.475,1,47.5,0.9846782407407406,0.475,35.916666666666664,132,486218438578,100,742.9787514209747,742.9787514209747,846.7010216712952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
