,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7
0,54,5.4,12,0,13,17,15,18,10,21,18,19,13,21,17,21,16,21,0,0,0,0,0,0,8.5,11.333333333333334,0.9776572270322271,0.11333333333333333,1,11.333333333333334,0.9776572270322271,0.11333333333333333,8.5,0,875543259214,100,553.0293209552765,553.0293209552765,814.057407617569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,187,18.7,12,0,11,14,18,19,14,21,11,17,15,21,13,21,16,21,15,21,17,21,0,0,18.083333333333332,19.25,0.9674491475602586,0.1925,1,19.25,0.9674491475602586,0.1925,18.083333333333332,10,875543259214,100,811.6325192451477,811.6325192451477,876.433539390564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,191,19.1,12,0,9,20,9,17,13,21,17,21,11,16,11,16,10,18,14,20,12,19,17,21,23.333333333333332,27.833333333333332,0.9742626232563734,0.2783333333333333,1,27.833333333333332,0.9742626232563734,0.2783333333333333,23.333333333333332,20,875543259214,100,746.6983597278595,746.6983597278595,812.3025388717651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,167,16.7,12,0,16,18,12,18,14,17,13,19,16,21,19,21,9,13,14,19,13,20,0,0,13.666666666666666,16.583333333333332,0.9653769841269839,0.16583333333333333,1,16.583333333333332,0.9653769841269839,0.16583333333333333,13.666666666666666,30,875543259214,100,834.8754940032959,834.8754940032959,891.6504344940186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,60,6.0,12,0,12,21,17,21,17,19,18,19,17,21,15,21,13,21,11,21,0,0,0,0,12.333333333333334,14.5,0.9752344714506171,0.145,1,14.5,0.9752344714506171,0.145,12.333333333333334,40,875543259214,100,501.70365691185,501.70365691185,648.017674446106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,110,11.0,12,0,17,21,10,16,13,19,12,20,10,20,12,21,16,21,14,20,16,21,17,21,18.5,24.25,0.9793271604938271,0.2425,1,24.25,0.9793271604938271,0.2425,18.5,50,875543259214,100,785.4259724617004,785.4259724617004,808.4792969226837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24,2.4,12,0,14,21,10,18,9,20,9,16,14,15,12,19,13,16,14,16,0,0,0,0,8.416666666666666,10.5,0.975756880561568,0.105,1,10.5,0.975756880561568,0.105,8.416666666666666,60,875543259214,100,726.8044281005859,726.8044281005859,1105.858674287796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,102,10.2,12,0,11,14,15,20,18,20,15,19,16,19,12,21,14,15,18,21,0,0,0,0,10.25,11.416666666666666,0.9696323302469134,0.11416666666666667,1,11.416666666666666,0.9696323302469134,0.11416666666666667,10.25,70,875543259214,100,761.5842361450195,761.5842361450195,761.5898339748383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,113,11.3,12,0,18,19,12,18,14,16,9,19,15,21,13,21,10,15,18,20,17,18,0,0,13.583333333333334,15.833333333333334,0.9651190843621398,0.15833333333333333,1,15.833333333333334,0.9651190843621398,0.15833333333333333,13.583333333333334,80,875543259214,100,736.4626026153564,736.4626026153564,796.3140082359314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23,2.3,12,0,14,16,18,21,13,15,11,21,12,15,19,21,16,19,19,20,14,20,0,0,5.416666666666667,7.0,0.9636049382716048,0.07,1,7.0,0.9636049382716048,0.07,5.416666666666667,90,875543259214,100,873.9963843822479,873.9963843822479,1051.5828924179077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
