,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,sequential_execution_time,execution_time,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4
19,6,55,5.5,5,1,21.8,23.4,0.9801203703703703,0.234,1,23.4,0.9801203703703703,0.234,21.8,33,824477712049,100,210.8559446334839,210.8559446334839,0.0010449886322021484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,96,9.6,5,1,3.2,4.4,0.96,0.044,1,4.4,0.96,0.044,3.2,8,824477712049,100,76.13293671607971,76.13293671607971,0.0010559558868408203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,104,10.4,5,1,4.2,4.6,0.9825555555555556,0.046,1,4.6,0.9825555555555556,0.046,4.2,88,824477712049,100,45.27879786491394,45.27879786491394,76.4204969406128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,138,13.8,5,1,3.4,4.8,0.9628888888888888,0.048,1,4.8,0.9628888888888888,0.048,3.4,13,824477712049,100,66.30045890808105,66.30045890808105,0.0011339187622070312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,129,12.9,5,1,6.0,4.8,0.9744444444444444,0.048,1,4.8,0.9744444444444444,0.048,6.0,93,824477712049,100,56.22489380836487,56.22489380836487,76.73304605484009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,136,13.6,5,2,4.6,4.8,0.9653888888888889,0.048,1,4.8,0.9653888888888889,0.048,4.6,98,824477712049,100,68.94378471374512,68.94378471374512,69.09534645080566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,159,15.9,5,2,21.2,25.0,0.9809666666666667,0.25,1,25.0,0.9809666666666667,0.25,21.2,28,824477712049,100,132.31986737251282,132.31986737251282,0.0012507438659667969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,38,3.8,5,2,3.2,3.2,0.9741666666666666,0.032,1,3.2,0.9741666666666666,0.032,3.2,68,824477712049,100,60.56431698799133,60.56431698799133,0.0009930133819580078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,138,13.8,5,2,3.4,4.8,0.9628888888888888,0.048,1,4.8,0.9628888888888888,0.048,3.4,13,824477712049,100,66.30045890808105,66.30045890808105,0.0009508132934570312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,37,3.7,5,2,3.2,3.2,0.9861111111111112,0.032,1,3.2,0.9861111111111112,0.032,3.2,103,824477712049,100,47.55840754508972,47.55840754508972,107.00950980186462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,84,8.4,5,2,6.4,4.4,0.9869444444444444,0.044,1,4.4,0.9869444444444444,0.044,6.4,18,824477712049,100,38.39975643157959,38.39975643157959,0.0012485980987548828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,42,4.2,5,2,3.0,3.4,0.9656111111111112,0.034,1,3.4,0.9656111111111112,0.034,3.0,108,824477712049,100,72.0053186416626,72.0053186416626,72.22021150588989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,161,16.1,5,2,3.8,5.0,0.98,0.05,1,5.0,0.98,0.05,3.8,113,824477712049,100,45.79481077194214,45.79481077194214,69.30163812637329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5,163,16.3,5,2,20.4,25.0,0.9789333333333333,0.25,1,25.0,0.9789333333333333,0.25,20.4,118,824477712049,100,136.14544224739075,136.14544224739075,173.83300256729126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,97,9.7,5,2,4.0,4.4,0.9576666666666668,0.044,1,4.4,0.9576666666666668,0.044,4.0,123,824477712049,100,78.4564905166626,78.4564905166626,78.70400619506836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,132,13.2,5,2,3.4,4.8,0.9703888888888887,0.048,1,4.8,0.9703888888888887,0.048,3.4,128,824477712049,100,67.57281064987183,67.57281064987183,67.59010314941406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,138,13.8,5,2,3.4,4.8,0.9628888888888888,0.048,1,4.8,0.9628888888888888,0.048,3.4,13,824477712049,100,66.30045890808105,66.30045890808105,0.0012784004211425781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,40,4.0,5,3,3.2,3.4,0.9856111111111112,0.034,1,3.4,0.9856111111111112,0.034,3.2,133,824477712049,100,43.31715130805969,43.31715130805969,72.62293529510498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,139,13.9,5,3,3.8,4.8,0.9618888888888888,0.048,1,4.8,0.9618888888888888,0.048,3.8,138,824477712049,100,73.12998986244202,73.12998986244202,73.29177188873291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,33,3.3,5,3,3.0,3.0,0.9692222222222222,0.03,1,3.0,0.9692222222222222,0.03,3.0,143,824477712049,100,73.1416826248169,73.1416826248169,73.31218028068542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,94,9.4,5,3,4.6,4.4,0.9647777777777776,0.044,1,4.4,0.9647777777777776,0.044,4.6,148,824477712049,100,71.37391352653503,71.37391352653503,71.5789783000946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,38,3.8,5,3,3.2,3.2,0.9741666666666666,0.032,1,3.2,0.9741666666666666,0.032,3.2,68,824477712049,100,60.56431698799133,60.56431698799133,0.0014576911926269531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,38,3.8,5,3,3.2,3.2,0.9741666666666666,0.032,1,3.2,0.9741666666666666,0.032,3.2,68,824477712049,100,60.56431698799133,60.56431698799133,0.001047372817993164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,142,14.2,5,3,6.8,4.8,0.9584444444444444,0.048,1,4.8,0.9584444444444444,0.048,6.8,153,824477712049,100,68.78136968612671,68.78136968612671,68.80105090141296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,133,13.3,5,3,4.0,4.8,0.9691111111111111,0.048,1,4.8,0.9691111111111111,0.048,4.0,158,824477712049,100,62.682679176330566,62.682679176330566,62.70478081703186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,108,10.8,5,3,3.4,4.6,0.9746666666666668,0.046,1,4.6,0.9746666666666668,0.046,3.4,163,824477712049,100,56.634509325027466,56.634509325027466,78.14165496826172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,41,4.1,5,3,4.6,3.4,0.9753333333333334,0.034,1,3.4,0.9753333333333334,0.034,4.6,168,824477712049,100,61.15519881248474,61.15519881248474,75.94681072235107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
