,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,sequential_execution_time,execution_time,num_delivered_5,utilization_rate_5,delivery_rate_5,num_risks_5,unique_id_5,seed_5,requests_per_hour_5,execution_time_5,num_delivered_7,utilization_rate_7,delivery_rate_7,num_risks_7,unique_id_7,seed_7,requests_per_hour_7,execution_time_7,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_6,utilization_rate_6,delivery_rate_6,num_risks_6,unique_id_6,seed_6,requests_per_hour_6,execution_time_6,num_delivered_9,utilization_rate_9,delivery_rate_9,num_risks_9,unique_id_9,seed_9,requests_per_hour_9,execution_time_9,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_8,utilization_rate_8,delivery_rate_8,num_risks_8,unique_id_8,seed_8,requests_per_hour_8,execution_time_8
111,10,1.0,5,9,9,13,10,12,9,11,9,10,10,11,0,0,0,0,0,0,0,0,0,0,2.15,3.5,0.955409722222222,0.07,8,3.2,0.9538749999999998,0.064,1.6,791,602611633635,50,142.33631825447083,1133.9509994983673,205.5629003047943,3.8,0.9682638888888888,0.076,2.4,795.0,668419375898.0,50.0,127.41002774238586,3.4,0.9166527777777776,0.068,2.0,797.0,124715194137.0,50.0,205.2960216999054,3.4,0.9467777777777776,0.068,2.6,790.0,607963662971.0,50.0,142.7794418334961,3.8,0.9697083333333332,0.076,1.4,794.0,520888602397.0,50.0,125.9674768447876,3.6,0.9612638888888888,0.072,2.0,796.0,657606891565.0,50.0,133.18061780929565,3.4,0.9704444444444442,0.068,2.6,799.0,746821110196.0,50.0,121.04604697227478,3.4,0.9562916666666664,0.068,2.6,793.0,992957841332.0,50.0,135.9350483417511,,,,,,,,
112,10,1.0,5,9,11,12,9,10,9,13,10,14,9,11,9,12,9,11,0,0,0,0,0,0,3.275,5.85,0.947022156084656,0.11699999999999999,8,5.2,0.9203902116402115,0.104,2.0,801,602611633635,50,300.3569347858429,1765.3193635940552,300.5007891654968,5.8,0.9608498677248677,0.116,4.2,805.0,668419375898.0,50.0,187.0379900932312,5.6,0.9691501322751321,0.112,2.6,807.0,124715194137.0,50.0,179.1544897556305,6.6,0.9463227513227511,0.132,2.2,800.0,607963662971.0,50.0,220.80437421798706,5.6,0.9328273809523809,0.112,4.4,804.0,520888602397.0,50.0,229.081068277359,5.4,0.9137665343915344,0.108,3.2,806.0,657606891565.0,50.0,276.80855083465576,6.2,0.9700297619047618,0.124,2.8,809.0,746821110196.0,50.0,168.79930782318115,6.4,0.9628406084656083,0.128,4.8,803.0,992957841332.0,50.0,203.2766478061676,,,,,,,,
113,10,1.0,5,9,9,11,9,13,11,13,9,10,9,11,0,0,0,0,0,0,0,0,0,0,2.0,3.875,0.9573177083333333,0.0775,8,3.8,0.970611111111111,0.076,1.8,811,602611633635,50,134.12364554405212,1232.513177871704,191.48105573654175,3.8,0.9698055555555554,0.076,1.6,815.0,668419375898.0,50.0,137.65308213233948,4.2,0.951986111111111,0.084,2.8,817.0,124715194137.0,50.0,157.86760067939758,3.8,0.9459027777777778,0.076,1.8,810.0,607963662971.0,50.0,151.23718285560608,3.6,0.9538333333333332,0.072,1.4,814.0,520888602397.0,50.0,171.16332745552063,4.2,0.9554305555555554,0.084,2.4,816.0,657606891565.0,50.0,150.84852361679077,3.8,0.9399027777777776,0.076,1.6,819.0,746821110196.0,50.0,191.25224566459656,3.8,0.9710694444444444,0.076,2.6,813.0,992957841332.0,50.0,138.36756992340088,,,,,,,,
114,10,1.0,5,9,9,12,9,13,10,12,9,12,9,12,9,11,9,12,0,0,0,0,0,0,4.175,7.225,0.9277674437830687,0.14450000000000002,8,7.0,0.9225859788359788,0.14,4.6,821,602611633635,50,283.0943727493286,2218.236923456192,357.1065573692322,7.4,0.8891170634920634,0.148,3.2,825.0,668419375898.0,50.0,356.8674998283386,7.0,0.963720238095238,0.14,3.6,827.0,124715194137.0,50.0,197.15404224395752,7.6,0.9573181216931216,0.152,5.8,820.0,607963662971.0,50.0,213.55655026435852,7.0,0.9384457671957672,0.14,4.0,824.0,520888602397.0,50.0,260.45741510391235,7.4,0.9144179894179895,0.148,4.6,826.0,657606891565.0,50.0,309.50235390663147,7.2,0.9076025132275133,0.144,3.8,829.0,746821110196.0,50.0,323.50459909439087,7.2,0.9289318783068783,0.144,3.8,823.0,992957841332.0,50.0,274.10009026527405,,,,,,,,
115,10,1.0,5,9,9,13,10,14,9,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2.3,3.1500000000000004,0.9474262152777776,0.063,8,3.4,0.971440972222222,0.068,2.2,831,602611633635,50,111.83090853691101,1197.9306938648224,228.15404772758484,3.0,0.9330555555555554,0.06,3.6,835.0,668419375898.0,50.0,181.89126896858215,3.6,0.9736631944444444,0.072,2.0,837.0,124715194137.0,50.0,117.89050889015198,2.4,0.8861979166666665,0.048,1.2,830.0,607963662971.0,50.0,228.13020730018616,2.8,0.9282118055555554,0.056,2.0,834.0,520888602397.0,50.0,176.03840589523315,3.6,0.975347222222222,0.072,2.8,836.0,657606891565.0,50.0,120.56424331665039,3.2,0.9535416666666665,0.064,1.8,839.0,746821110196.0,50.0,129.8502984046936,3.2,0.9579513888888886,0.064,2.8,833.0,992957841332.0,50.0,131.73485255241394,,,,,,,,
116,10,1.0,5,9,9,13,10,13,9,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.45,0.943298611111111,0.069,8,3.6,0.970648148148148,0.072,1.6,681,602611633635,50,124.97900533676147,1250.2970752716064,0.0020034313201904297,3.2,0.9199884259259258,0.064,1.8,685.0,668419375898.0,50.0,184.52313923835754,3.4,0.9216319444444444,0.068,2.4,687.0,124715194137.0,50.0,193.0814003944397,3.4,0.9448437499999999,0.068,2.8,680.0,607963662971.0,50.0,132.01583909988403,3.8,0.9569618055555554,0.076,1.6,684.0,520888602397.0,50.0,132.45733618736267,3.6,0.927199074074074,0.072,2.2,686.0,657606891565.0,50.0,181.04201817512512,3.2,0.9774652777777777,0.064,1.8,689.0,746821110196.0,50.0,117.02255320549011,3.4,0.9276504629629628,0.068,1.8,683.0,992957841332.0,50.0,185.1757836341858,,,,,,,,
117,10,1.0,5,9,9,13,10,13,9,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.45,0.943298611111111,0.069,8,3.6,0.970648148148148,0.072,1.6,681,602611633635,50,124.97900533676147,1250.2970752716064,0.0015721321105957031,3.2,0.9199884259259258,0.064,1.8,685.0,668419375898.0,50.0,184.52313923835754,3.4,0.9216319444444444,0.068,2.4,687.0,124715194137.0,50.0,193.0814003944397,3.4,0.9448437499999999,0.068,2.8,680.0,607963662971.0,50.0,132.01583909988403,3.8,0.9569618055555554,0.076,1.6,684.0,520888602397.0,50.0,132.45733618736267,3.6,0.927199074074074,0.072,2.2,686.0,657606891565.0,50.0,181.04201817512512,3.2,0.9774652777777777,0.064,1.8,689.0,746821110196.0,50.0,117.02255320549011,3.4,0.9276504629629628,0.068,1.8,683.0,992957841332.0,50.0,185.1757836341858,,,,,,,,
118,10,1.0,5,9,9,13,10,13,9,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.45,0.943298611111111,0.069,8,3.6,0.970648148148148,0.072,1.6,681,602611633635,50,124.97900533676147,1250.2970752716064,0.0015456676483154297,3.2,0.9199884259259258,0.064,1.8,685.0,668419375898.0,50.0,184.52313923835754,3.4,0.9216319444444444,0.068,2.4,687.0,124715194137.0,50.0,193.0814003944397,3.4,0.9448437499999999,0.068,2.8,680.0,607963662971.0,50.0,132.01583909988403,3.8,0.9569618055555554,0.076,1.6,684.0,520888602397.0,50.0,132.45733618736267,3.6,0.927199074074074,0.072,2.2,686.0,657606891565.0,50.0,181.04201817512512,3.2,0.9774652777777777,0.064,1.8,689.0,746821110196.0,50.0,117.02255320549011,3.4,0.9276504629629628,0.068,1.8,683.0,992957841332.0,50.0,185.1757836341858,,,,,,,,
119,10,1.0,5,9,9,13,10,13,9,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.45,0.943298611111111,0.069,8,3.6,0.970648148148148,0.072,1.6,681,602611633635,50,124.97900533676147,1250.2970752716064,0.0015149116516113281,3.2,0.9199884259259258,0.064,1.8,685.0,668419375898.0,50.0,184.52313923835754,3.4,0.9216319444444444,0.068,2.4,687.0,124715194137.0,50.0,193.0814003944397,3.4,0.9448437499999999,0.068,2.8,680.0,607963662971.0,50.0,132.01583909988403,3.8,0.9569618055555554,0.076,1.6,684.0,520888602397.0,50.0,132.45733618736267,3.6,0.927199074074074,0.072,2.2,686.0,657606891565.0,50.0,181.04201817512512,3.2,0.9774652777777777,0.064,1.8,689.0,746821110196.0,50.0,117.02255320549011,3.4,0.9276504629629628,0.068,1.8,683.0,992957841332.0,50.0,185.1757836341858,,,,,,,,
120,10,1.0,5,10,9,13,10,13,9,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2.066666666666667,3.4444444444444446,0.9427604166666667,0.0688888888888889,9,3.6,0.970648148148148,0.072,1.6,681,602611633635,50,124.97900533676147,1427.9938356876373,0.0007462501525878906,3.2,0.9199884259259258,0.064,1.8,685.0,668419375898.0,50.0,184.52313923835754,3.4,0.9216319444444444,0.068,2.4,687.0,124715194137.0,50.0,193.0814003944397,3.4,0.9448437499999999,0.068,2.8,680.0,607963662971.0,50.0,132.01583909988403,3.8,0.9569618055555554,0.076,1.6,684.0,520888602397.0,50.0,132.45733618736267,3.6,0.927199074074074,0.072,2.2,686.0,657606891565.0,50.0,181.04201817512512,3.2,0.9774652777777777,0.064,1.8,689.0,746821110196.0,50.0,117.02255320549011,3.4,0.9276504629629628,0.068,1.8,683.0,992957841332.0,50.0,185.1757836341858,3.4,0.9384548611111111,0.068,2.6,688.0,936194090208.0,50.0,177.69676041603088
121,10,1.0,5,10,9,13,10,14,9,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,2.4222222222222225,3.155555555555556,0.9498148148148147,0.06311111111111112,9,3.4,0.971440972222222,0.068,2.2,831,602611633635,50,111.83090853691101,1326.063443183899,0.0007064342498779297,3.0,0.9330555555555554,0.06,3.6,835.0,668419375898.0,50.0,181.89126896858215,3.6,0.9736631944444444,0.072,2.0,837.0,124715194137.0,50.0,117.89050889015198,2.4,0.8861979166666665,0.048,1.2,830.0,607963662971.0,50.0,228.13020730018616,2.8,0.9282118055555554,0.056,2.0,834.0,520888602397.0,50.0,176.03840589523315,3.6,0.975347222222222,0.072,2.8,836.0,657606891565.0,50.0,120.56424331665039,3.2,0.9535416666666665,0.064,1.8,839.0,746821110196.0,50.0,129.8502984046936,3.2,0.9579513888888886,0.064,2.8,833.0,992957841332.0,50.0,131.73485255241394,3.2,0.9689236111111109,0.064,3.4,838.0,936194090208.0,50.0,128.13274931907654
