,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0
0,5,63,6.3,5,0,16.0,20.2,0.9792333333333332,0.202,1,20.2,0.9792333333333332,0.202,16.0,4,293597788666,100,187.10905647277832,187.10905647277832,214.2392942905426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,103,10.3,5,0,31.4,41.4,0.9781666666666666,0.414,1,41.4,0.9781666666666666,0.414,31.4,9,293597788666,100,262.27247762680054,262.27247762680054,278.8708779811859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,164,16.4,5,0,36.2,45.0,0.9730925925925926,0.45,1,45.0,0.9730925925925926,0.45,36.2,14,293597788666,100,267.66398215293884,267.66398215293884,298.6740415096283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,39,3.9,5,0,19.2,20.0,0.9783518518518518,0.2,1,20.0,0.9783518518518518,0.2,19.2,19,293597788666,100,248.67315411567688,248.67315411567688,248.83705472946167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,69,6.9,5,0,30.8,37.4,0.9805123456790122,0.374,1,37.4,0.9805123456790122,0.374,30.8,24,293597788666,100,270.66631531715393,270.66631531715393,321.3092224597931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,186,18.6,5,0,10.0,10.0,0.9740000000000001,0.1,1,10.0,0.9740000000000001,0.1,10.0,29,293597788666,100,86.3586802482605,86.3586802482605,106.77056503295898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,18,1.8,5,0,10.4,11.8,0.9706333333333333,0.118,1,11.8,0.9706333333333333,0.118,10.4,34,293597788666,100,286.0902729034424,286.0902729034424,291.8318829536438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,150,15.0,5,0,4.0,4.8,0.9679444444444444,0.048,1,4.8,0.9679444444444444,0.048,4.0,39,293597788666,100,68.3995852470398,68.3995852470398,68.68747019767761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,55,5.5,5,0,11.4,15.2,0.9797916666666666,0.152,1,15.2,0.9797916666666666,0.152,11.4,44,293597788666,100,164.97606801986694,164.97606801986694,165.13514256477356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,20,2.0,5,0,13.6,20.2,0.9823125,0.202,1,20.2,0.9823125,0.202,13.6,49,293597788666,100,315.6180987358093,315.6180987358093,332.7040505409241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,67,6.7,5,0,3.4,4.0,0.9732222222222222,0.04,1,4.0,0.9732222222222222,0.04,3.4,54,293597788666,100,62.49388360977173,62.49388360977173,93.01544618606567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,69,6.9,5,0,22.4,24.6,0.9815277777777777,0.246,1,24.6,0.9815277777777777,0.246,22.4,59,293597788666,100,188.21649050712585,188.21649050712585,250.07923221588135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,74,7.4,5,1,10.8,12.2,0.9682777777777778,0.122,1,12.2,0.9682777777777778,0.122,10.8,64,293597788666,100,155.5849084854126,155.5849084854126,187.02278470993042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,55,5.5,5,1,15.2,19.2,0.971088888888889,0.192,1,19.2,0.971088888888889,0.192,15.2,69,293597788666,100,238.12791228294373,238.12791228294373,238.27739596366882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,55,5.5,5,1,6.6,7.6,0.989111111111111,0.076,1,7.6,0.989111111111111,0.076,6.6,74,293597788666,100,72.30562949180603,72.30562949180603,99.30880451202393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6,177,17.7,5,1,24.4,30.0,0.9752777777777779,0.3,1,30.0,0.9752777777777779,0.3,24.4,79,293597788666,100,188.6925995349884,188.6925995349884,237.28993964195251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,150,15.0,5,1,4.0,4.8,0.9679444444444444,0.048,1,4.8,0.9679444444444444,0.048,4.0,39,293597788666,100,68.3995852470398,68.3995852470398,0.001317739486694336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5,30,3.0,5,1,12.6,15.0,0.9743111111111112,0.15,1,15.0,0.9743111111111112,0.15,12.6,84,293597788666,100,235.70872831344604,235.70872831344604,304.92589354515076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,55,5.5,5,1,11.4,15.2,0.9797916666666666,0.152,1,15.2,0.9797916666666666,0.152,11.4,44,293597788666,100,164.97606801986694,164.97606801986694,0.001397848129272461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5,63,6.3,5,1,16.0,20.2,0.9792333333333332,0.202,1,20.2,0.9792333333333332,0.202,16.0,4,293597788666,100,187.10905647277832,187.10905647277832,0.0009915828704833984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6,70,7.0,5,1,18.4,24.6,0.9782407407407407,0.246,1,24.6,0.9782407407407407,0.246,18.4,89,293597788666,100,209.35828399658203,209.35828399658203,271.66687989234924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8,65,6.5,5,1,25.6,32.8,0.975111111111111,0.328,1,32.8,0.975111111111111,0.328,25.6,94,293597788666,100,286.6890697479248,286.6890697479248,364.0396304130554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,67,6.7,5,1,3.4,4.0,0.9732222222222222,0.04,1,4.0,0.9732222222222222,0.04,3.4,54,293597788666,100,62.49388360977173,62.49388360977173,0.001272439956665039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,150,15.0,5,1,4.0,4.8,0.9679444444444444,0.048,1,4.8,0.9679444444444444,0.048,4.0,39,293597788666,100,68.3995852470398,68.3995852470398,0.0010309219360351562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,55,5.5,5,2,9.2,11.2,0.9847592592592592,0.112,1,11.2,0.9847592592592592,0.112,9.2,99,293597788666,100,110.56164026260376,110.56164026260376,151.91859912872314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2,55,5.5,5,2,6.6,7.6,0.989111111111111,0.076,1,7.6,0.989111111111111,0.076,6.6,74,293597788666,100,72.30562949180603,72.30562949180603,0.0013492107391357422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,74,7.4,5,2,10.8,12.2,0.9682777777777778,0.122,1,12.2,0.9682777777777778,0.122,10.8,64,293597788666,100,155.5849084854126,155.5849084854126,0.0009894371032714844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,150,15.0,5,2,10.4,9.6,0.9690000000000001,0.096,1,9.6,0.9690000000000001,0.096,10.4,104,293597788666,100,104.66636562347412,104.66636562347412,104.83583331108093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,150,15.0,5,2,10.4,9.6,0.9690000000000001,0.096,1,9.6,0.9690000000000001,0.096,10.4,104,293597788666,100,104.66636562347412,104.66636562347412,0.0012176036834716797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,145,14.5,5,2,3.8,4.8,0.9737777777777776,0.048,1,4.8,0.9737777777777776,0.048,3.8,109,293597788666,100,60.608712673187256,60.608712673187256,60.76594424247742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,74,7.4,5,2,7.0,8.2,0.9727777777777777,0.082,1,8.2,0.9727777777777777,0.082,7.0,114,293597788666,100,98.27218890190125,98.27218890190125,102.74089503288269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,78,7.8,5,2,1.6,4.2,0.9787777777777776,0.042,1,4.2,0.9787777777777776,0.042,1.6,119,293597788666,100,51.515995025634766,51.515995025634766,65.75947189331055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,148,14.8,5,2,4.8,4.8,0.9705,0.048,1,4.8,0.9705,0.048,4.8,124,293597788666,100,61.0232093334198,61.0232093334198,61.0422785282135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,62,6.2,5,2,1.6,4.0,0.987,0.04,1,4.0,0.987,0.04,1.6,129,293597788666,100,41.21879172325134,41.21879172325134,78.39377236366272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,150,15.0,5,2,4.0,4.8,0.9679444444444444,0.048,1,4.8,0.9679444444444444,0.048,4.0,39,293597788666,100,68.3995852470398,68.3995852470398,0.0012235641479492188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,159,15.9,5,2,3.4,5.0,0.9922222222222222,0.05,1,5.0,0.9922222222222222,0.05,3.4,134,293597788666,100,27.158474683761597,27.158474683761597,53.8147394657135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,67,6.7,5,3,3.4,4.0,0.9732222222222222,0.04,1,4.0,0.9732222222222222,0.04,3.4,54,293597788666,100,62.49388360977173,62.49388360977173,0.0011522769927978516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,70,7.0,5,3,2.6,4.0,0.9602222222222222,0.04,1,4.0,0.9602222222222222,0.04,2.6,139,293597788666,100,77.45220446586609,77.45220446586609,97.59718751907349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,78,7.8,5,3,1.6,4.2,0.9787777777777776,0.042,1,4.2,0.9787777777777776,0.042,1.6,119,293597788666,100,51.515995025634766,51.515995025634766,0.0012578964233398438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,149,14.9,5,3,4.6,4.8,0.9692222222222222,0.048,1,4.8,0.9692222222222222,0.048,4.6,144,293597788666,100,63.20573949813843,63.20573949813843,63.22277903556824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,73,7.3,5,3,4.4,4.0,0.948,0.04,1,4.0,0.948,0.04,4.4,149,293597788666,100,95.42287492752075,95.42287492752075,95.4459810256958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,75,7.5,5,3,3.4,4.2,0.9898888888888888,0.042,1,4.2,0.9898888888888888,0.042,3.4,154,293597788666,100,36.11585760116577,36.11585760116577,73.24090814590454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,140,14.0,5,3,2.4,4.8,0.9800555555555556,0.048,1,4.8,0.9800555555555556,0.048,2.4,159,293597788666,100,54.11298680305481,54.11298680305481,67.74663162231445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,56,5.6,5,3,3.6,3.8,0.9805555555555556,0.038,1,3.8,0.9805555555555556,0.038,3.6,164,293597788666,100,51.826069831848145,51.826069831848145,60.34607243537903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,150,15.0,5,3,4.0,4.8,0.9679444444444444,0.048,1,4.8,0.9679444444444444,0.048,4.0,39,293597788666,100,68.3995852470398,68.3995852470398,0.0012276172637939453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
