,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,7,104,10.4,5,0,24.32,32.519999999999996,0.982088888888889,0.6504000000000001,5,32.0,0.9802063492063492,0.64,27.6,0,709017780508,50,150.73774790763855,32.6,0.9815238095238096,0.652,23.8,1,888796354648,50,144.13457894325256,33.0,0.9843571428571428,0.66,22.4,2,280146518876,50,134.22119045257568,32.4,0.9821746031746031,0.648,23.0,3,944658136007,50,144.22447967529297,32.6,0.9821825396825397,0.652,24.8,4,977572622211,50,141.7716040611267,715.0896010398865,151.23429083824158
1,3,122,12.2,5,0,12.280000000000001,14.16,0.974537037037037,0.2832,5,14.0,0.9716481481481481,0.28,12.2,5,709017780508,50,89.87259268760681,14.2,0.970462962962963,0.284,10.0,6,888796354648,50,90.8196370601654,14.2,0.9781851851851853,0.284,12.0,7,280146518876,50,82.85368490219116,14.4,0.9802222222222222,0.288,12.4,8,944658136007,50,78.44961047172546,14.0,0.9721666666666667,0.28,14.8,9,977572622211,50,88.19868493080139,430.19421005249023,90.98799180984497
2,1,159,15.9,5,0,4.0,4.880000000000001,0.9754666666666667,0.09759999999999999,5,5.0,0.9878888888888888,0.1,4.2,10,709017780508,50,27.329145193099976,4.8,0.9580555555555555,0.096,3.6,11,888796354648,50,50.344181299209595,4.8,0.9602777777777778,0.096,2.6,12,280146518876,50,51.499964475631714,4.8,0.9774444444444444,0.096,5.4,13,944658136007,50,39.53078007698059,5.0,0.9936666666666668,0.1,4.2,14,977572622211,50,27.56638193130493,196.2704529762268,51.6518816947937
3,2,99,9.9,5,0,7.92,9.08,0.9835,0.18159999999999998,5,9.2,0.9878333333333333,0.184,7.6,15,709017780508,50,53.16216969490051,9.2,0.9862500000000001,0.184,10.4,16,888796354648,50,57.058502197265625,9.2,0.9866944444444445,0.184,6.8,17,280146518876,50,50.41857695579529,8.8,0.9806944444444444,0.176,7.0,18,944658136007,50,67.06467843055725,9.0,0.9760277777777777,0.18,7.8,19,977572622211,50,67.40287947654724,295.1068067550659,67.56531286239624
4,5,138,13.8,5,0,19.599999999999998,24.4,0.9776422222222223,0.488,5,24.0,0.9653777777777778,0.48,19.8,20,709017780508,50,136.44741940498352,24.4,0.9784111111111111,0.488,22.0,21,888796354648,50,112.48722338676453,24.6,0.9832444444444445,0.492,17.8,22,280146518876,50,101.47800159454346,24.6,0.985588888888889,0.492,17.6,23,944658136007,50,98.94944953918457,24.4,0.9755888888888888,0.488,20.8,24,977572622211,50,118.37591338157654,567.7380073070526,136.4573094844818
5,9,69,6.9,5,0,28.8,37.6,0.9768246913580245,0.7520000000000001,5,38.0,0.9829074074074072,0.76,28.8,25,709017780508,50,170.87520670890808,37.4,0.9719876543209877,0.748,27.2,26,888796354648,50,189.52050733566284,37.4,0.9727037037037037,0.748,27.0,27,280146518876,50,188.7680480480194,37.0,0.9745061728395061,0.74,29.4,28,944658136007,50,188.73720979690552,38.2,0.9820185185185184,0.764,31.6,29,977572622211,50,170.93183994293213,908.832811832428,189.52949142456055
6,6,112,11.2,5,0,21.68,28.2,0.9792629629629628,0.5640000000000001,5,27.8,0.9715092592592592,0.556,21.0,30,709017780508,50,146.97654175758362,28.2,0.9809074074074072,0.564,20.8,31,888796354648,50,124.2123076915741,28.2,0.9758240740740741,0.564,20.4,32,280146518876,50,134.36095523834229,28.4,0.9857962962962962,0.568,24.0,33,944658136007,50,118.55527830123901,28.4,0.9822777777777777,0.568,22.2,34,977572622211,50,125.08633613586426,649.1914191246033,146.98771119117737
7,1,10,1.0,5,0,1.1199999999999999,1.64,0.9899222222222223,0.0328,5,1.8,0.9862777777777778,0.036,1.4,35,709017780508,50,43.8849720954895,1.4,0.9955555555555556,0.028,1.2,36,888796354648,50,41.02212691307068,2.0,0.9959444444444444,0.04,0.6,37,280146518876,50,35.22477412223816,1.4,0.9927222222222222,0.028,0.8,38,944658136007,50,40.48198914527893,1.6,0.9791111111111112,0.032,1.6,39,977572622211,50,48.95989465713501,209.57375693321228,48.96898579597473
8,5,76,7.6,5,0,18.759999999999998,21.4,0.9806955555555555,0.42800000000000005,5,21.2,0.9681111111111111,0.424,15.4,40,709017780508,50,139.4949107170105,21.2,0.980411111111111,0.424,23.4,41,888796354648,50,118.68571710586548,21.6,0.9817777777777777,0.432,17.4,42,280146518876,50,112.47196984291077,21.2,0.9849888888888889,0.424,17.4,43,944658136007,50,112.74186968803406,21.8,0.9881888888888888,0.436,20.2,44,977572622211,50,104.85174465179443,588.2462120056152,139.65592312812805
9,8,81,8.1,5,0,28.160000000000004,34.92,0.9802152777777776,0.6983999999999998,5,34.8,0.9792847222222222,0.696,30.0,45,709017780508,50,167.7180676460266,34.8,0.9796527777777777,0.696,23.8,46,888796354648,50,163.19671082496643,35.4,0.9823819444444444,0.708,28.6,47,280146518876,50,156.90279078483582,34.4,0.9810138888888889,0.688,28.8,48,944658136007,50,164.80547761917114,35.2,0.9787430555555555,0.704,29.6,49,977572622211,50,166.31763458251953,818.9406814575195,167.72923874855042
