,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,3,94,9.4,5,0,10.719999999999999,13.279999999999998,0.9767592592592592,0.2656,5,13.4,0.9796111111111112,0.268,11.0,0,986762518570,50,89.15552306175232,13.2,0.974888888888889,0.264,9.2,1,952039434492,50,101.71344995498657,13.2,0.9788518518518519,0.264,10.6,2,345664075654,50,94.16400408744812,13.4,0.9759444444444444,0.268,10.8,3,460462409076,50,97.29737067222595,13.2,0.9744999999999999,0.264,12.0,4,732505190116,50,98.49865078926086,480.8289985656738,102.32891750335693
1,9,185,18.5,5,0,34.64,45.64,0.9737901234567902,0.9128000000000001,5,45.2,0.9690802469135803,0.904,36.6,5,986762518570,50,154.18677377700806,45.6,0.9731358024691359,0.912,38.2,6,952039434492,50,150.31615781784058,45.2,0.9692777777777777,0.904,33.4,7,345664075654,50,156.4377670288086,46.4,0.9789876543209878,0.928,33.0,8,460462409076,50,145.4782838821411,45.8,0.9784691358024692,0.916,32.0,9,732505190116,50,148.89724016189575,755.3162226676941,156.60906338691711
2,8,126,12.6,5,0,27.8,38.4,0.9784375000000001,0.768,5,38.4,0.9769652777777778,0.768,26.6,10,986762518570,50,161.15207958221436,38.2,0.9788611111111112,0.764,27.8,11,952039434492,50,159.55110216140747,38.6,0.9848402777777778,0.772,30.6,12,345664075654,50,151.03096294403076,38.4,0.9739444444444445,0.768,27.0,13,460462409076,50,162.0470016002655,38.4,0.9775763888888889,0.768,27.0,14,732505190116,50,158.42229413986206,792.2034404277802,162.21778297424316
3,9,29,2.9,5,0,18.8,27.52,0.9723222222222223,0.5504,5,27.6,0.971604938271605,0.552,17.2,15,986762518570,50,271.46588826179504,27.0,0.9614074074074074,0.54,19.0,16,952039434492,50,305.94668555259705,26.8,0.9727716049382715,0.536,17.8,17,345664075654,50,270.13578248023987,28.0,0.9747037037037036,0.56,21.0,18,460462409076,50,255.79103589057922,28.2,0.9811234567901234,0.564,19.0,19,732505190116,50,241.20117592811584,1344.540568113327,306.2094340324402
4,2,135,13.5,5,0,7.2,9.559999999999999,0.9813666666666666,0.19119999999999998,5,9.6,0.9791388888888888,0.192,5.4,20,986762518570,50,56.55084037780762,9.6,0.9908333333333332,0.192,7.2,21,952039434492,50,45.123589515686035,9.6,0.978388888888889,0.192,7.6,22,345664075654,50,61.731263637542725,9.4,0.9682777777777778,0.188,9.0,23,460462409076,50,73.19460964202881,9.6,0.9901944444444445,0.192,6.8,24,732505190116,50,44.20563507080078,280.80593824386597,73.50428652763367
5,2,185,18.5,5,0,8.08,10.0,0.9722500000000001,0.2,5,10.0,0.967,0.2,7.4,25,986762518570,50,76.9430992603302,10.0,0.9784722222222223,0.2,9.4,26,952039434492,50,60.64801836013794,10.0,0.9632777777777777,0.2,7.6,27,345664075654,50,81.21570205688477,10.0,0.9763888888888889,0.2,8.4,28,460462409076,50,63.41134595870972,10.0,0.9761111111111112,0.2,7.6,29,732505190116,50,67.55461859703064,349.77278423309326,81.38411045074463
6,4,160,16.0,5,0,14.719999999999999,19.919999999999998,0.9743166666666667,0.3984,5,19.8,0.9706249999999998,0.396,13.6,30,986762518570,50,110.93073797225952,20.2,0.9744861111111112,0.404,14.8,31,952039434492,50,99.9669508934021,19.8,0.9772777777777778,0.396,16.4,32,345664075654,50,98.5410737991333,19.8,0.974986111111111,0.396,14.8,33,460462409076,50,106.81459617614746,20.0,0.9742083333333333,0.4,14.0,34,732505190116,50,99.23405718803406,515.4874160289764,111.10053086280823
7,7,41,4.1,5,0,18.360000000000003,24.68,0.9839142857142857,0.4936,5,25.2,0.9886507936507937,0.504,19.4,35,986762518570,50,164.97393894195557,24.8,0.9863492063492062,0.496,16.8,36,952039434492,50,173.8712706565857,24.2,0.9821587301587302,0.484,19.6,37,345664075654,50,184.16982436180115,24.6,0.9829761904761906,0.492,18.0,38,460462409076,50,180.0314929485321,24.6,0.9794365079365079,0.492,18.0,39,732505190116,50,188.92646718025208,891.9729940891266,189.09584045410156
8,8,90,9.0,5,0,28.360000000000003,35.76,0.9780194444444443,0.7152,5,35.8,0.9755972222222222,0.716,29.2,40,986762518570,50,163.7290599346161,35.4,0.9755416666666668,0.708,27.6,41,952039434492,50,169.65450239181519,36.2,0.9834444444444445,0.724,25.6,42,345664075654,50,152.98815155029297,36.0,0.9815902777777777,0.72,27.0,43,460462409076,50,159.54910731315613,35.4,0.9739236111111111,0.708,32.4,44,732505190116,50,171.77343916893005,817.6942603588104,172.05599570274353
9,9,86,8.6,5,0,30.679999999999996,39.96,0.9772320987654322,0.7992000000000001,5,39.6,0.976820987654321,0.792,34.6,45,986762518570,50,184.0794153213501,40.2,0.9780432098765431,0.804,30.4,46,952039434492,50,181.5634515285492,39.6,0.9778271604938271,0.792,33.6,47,345664075654,50,183.7028157711029,40.2,0.9738271604938272,0.804,26.8,48,460462409076,50,185.3824269771576,40.2,0.979641975308642,0.804,28.0,49,732505190116,50,177.59864497184753,912.3267545700073,185.3911406993866
10,7,175,17.5,5,0,27.360000000000003,35.120000000000005,0.9732285714285714,0.7023999999999999,5,35.0,0.9738174603174604,0.7,30.6,50,986762518570,50,142.51963925361633,35.0,0.9687063492063492,0.7,26.6,51,952039434492,50,148.8260886669159,35.4,0.9785000000000001,0.708,22.6,52,345664075654,50,131.81748342514038,35.2,0.971968253968254,0.704,27.0,53,460462409076,50,142.32063150405884,35.0,0.9731507936507936,0.7,30.0,54,732505190116,50,141.80433583259583,707.2881786823273,149.0935971736908
11,6,69,6.9,5,0,18.759999999999998,25.04,0.9783462962962963,0.5008,5,25.4,0.9776018518518518,0.508,16.0,55,986762518570,50,144.31757807731628,24.8,0.9821203703703704,0.496,18.8,56,952039434492,50,140.9797866344452,24.8,0.9710000000000001,0.496,20.0,57,345664075654,50,162.68704748153687,25.2,0.9798425925925928,0.504,17.8,58,460462409076,50,141.59570980072021,25.0,0.9811666666666666,0.5,21.2,59,732505190116,50,143.28327012062073,732.8633921146393,162.70481181144714
