,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,sequential_execution_time,execution_time
0,168,16.8,12,0,14,21,11,14,11,21,15,21,15,21,14,21,16,19,19,21,18,21,0,0,15.916666666666666,19.65,0.9757317754262196,0.39299999999999996,5,19.75,0.9733636096413874,0.395,15.416666666666666,0,998528766714,50,366.17663168907166,19.666666666666668,0.9782172251616694,0.3933333333333333,17.833333333333332,1,246549576131,50,349.60429859161377,19.75,0.9791225749559082,0.395,17.75,2,384821585325,50,337.45824813842773,19.5,0.976262933568489,0.39,14.333333333333334,3,484473857846,50,365.780339717865,19.583333333333332,0.9716925338036447,0.39166666666666666,14.25,4,762328448421,50,383.6659059524536,1802.6854240894318,383.9862105846405
1,33,3.3,12,0,9,14,10,21,18,21,13,21,14,16,17,18,14,21,10,16,12,20,0,0,10.633333333333335,13.683333333333334,0.9741292181069957,0.2736666666666666,5,13.666666666666666,0.9656339152103038,0.2733333333333333,12.333333333333334,5,998528766714,50,510.5461781024933,14.083333333333334,0.9753508998717331,0.2816666666666667,10.333333333333334,6,246549576131,50,495.77461194992065,14.0,0.9797338631019186,0.28,9.666666666666666,7,384821585325,50,440.03935861587524,13.0,0.9747660032868364,0.26,11.25,8,484473857846,50,512.145843744278,13.666666666666666,0.9751614090641867,0.2733333333333333,9.583333333333334,9,762328448421,50,512.4822080135345,2470.9882004261017,512.6128160953522
2,169,16.9,12,0,10,20,16,21,10,16,19,20,14,15,9,18,14,21,13,19,12,13,10,20,19.2,23.383333333333333,0.9715525749559081,0.4676666666666667,5,23.5,0.9720111992945324,0.47,20.083333333333332,10,998528766714,50,394.57432317733765,23.333333333333332,0.9748194444444446,0.4666666666666667,20.0,11,246549576131,50,399.7840120792389,23.416666666666668,0.9639944885361551,0.4683333333333333,19.583333333333332,12,384821585325,50,414.3086771965027,23.25,0.9719403439153437,0.465,18.916666666666668,13,484473857846,50,403.0173852443695,23.416666666666668,0.974997398589065,0.4683333333333333,17.416666666666668,14,762328448421,50,368.01414608955383,1979.6985437870026,414.4319956302643
3,118,11.8,12,0,12,17,11,20,12,19,9,14,11,13,16,21,15,16,15,21,0,0,0,0,12.683333333333332,15.716666666666665,0.9694560515873014,0.31433333333333335,5,15.75,0.9785493827160493,0.315,11.666666666666666,15,998528766714,50,414.4122779369354,15.916666666666666,0.9761758156966488,0.31833333333333336,11.666666666666666,16,246549576131,50,398.0440285205841,15.833333333333334,0.9614651124338622,0.31666666666666665,12.75,17,384821585325,50,404.00359082221985,15.416666666666666,0.9604122574955907,0.30833333333333335,15.166666666666666,18,484473857846,50,448.28826451301575,15.666666666666666,0.9706776895943561,0.31333333333333335,12.166666666666666,19,762328448421,50,440.0751280784607,2104.823289871216,448.4326665401459
4,156,15.6,12,0,15,21,18,21,12,17,10,16,9,18,11,12,13,15,13,21,16,19,0,0,13.76666666666667,17.85,0.9777874657064469,0.35700000000000004,5,17.916666666666668,0.9804833676268859,0.35833333333333334,13.333333333333334,20,998528766714,50,361.5365056991577,17.833333333333332,0.9678306755829902,0.3566666666666667,13.583333333333334,21,246549576131,50,450.8624243736267,17.916666666666668,0.9768259602194787,0.35833333333333334,14.0,22,384821585325,50,359.9132161140442,17.75,0.9825757030178325,0.355,13.833333333333334,23,484473857846,50,344.70597434043884,17.833333333333332,0.9812216220850478,0.3566666666666667,14.083333333333334,24,762328448421,50,366.2498023509979,1883.2679228782654,450.9957890510559
5,123,12.3,12,0,19,21,18,20,14,21,13,19,14,21,11,14,13,14,0,0,0,0,0,0,8.816666666666666,11.166666666666666,0.9724818594104306,0.22333333333333333,5,11.333333333333334,0.9910988284202568,0.22666666666666666,8.666666666666666,25,998528766714,50,257.02633357048035,11.166666666666666,0.9631764928193497,0.22333333333333333,10.166666666666666,26,246549576131,50,375.01463747024536,11.166666666666666,0.9794982993197276,0.22333333333333333,9.0,27,384821585325,50,329.36109471321106,11.0,0.9521211262282689,0.22,8.833333333333334,28,484473857846,50,385.4278588294983,11.166666666666666,0.9765145502645501,0.22333333333333333,7.416666666666667,29,762328448421,50,333.5592555999756,1680.3891801834106,385.569792509079
6,195,19.5,12,0,12,19,16,17,13,15,13,19,9,20,13,21,9,19,13,14,18,21,0,0,15.883333333333335,20.9,0.9615629609587941,0.418,5,20.916666666666668,0.9623543670835336,0.41833333333333333,14.916666666666666,30,998528766714,50,397.16507053375244,20.833333333333332,0.9586478575436908,0.4166666666666667,15.416666666666666,31,246549576131,50,429.2884838581085,21.0,0.9601259519801185,0.42,15.416666666666666,32,384821585325,50,419.351925611496,20.833333333333332,0.9647007208326652,0.4166666666666667,16.666666666666668,33,484473857846,50,418.1962857246399,20.916666666666668,0.9619859073539627,0.41833333333333333,17.0,34,762328448421,50,378.3064363002777,2042.3082020282745,429.455762386322
7,83,8.3,12,0,12,13,10,14,15,21,19,21,9,15,16,21,16,21,19,20,11,14,0,0,8.983333333333333,12.116666666666667,0.9642713991769545,0.24233333333333335,5,12.083333333333334,0.9519027777777774,0.24166666666666667,10.75,35,998528766714,50,483.99961829185486,12.333333333333334,0.9796280864197529,0.24666666666666667,8.666666666666666,36,246549576131,50,410.2842357158661,12.166666666666666,0.954659465020576,0.24333333333333335,7.916666666666667,37,384821585325,50,494.8431303501129,11.75,0.9559259259259257,0.235,9.416666666666666,38,484473857846,50,466.484090089798,12.25,0.9792407407407406,0.245,8.166666666666666,39,762328448421,50,417.1023950576782,2272.71346950531,495.01687502861023
8,10,1.0,12,0,18,20,12,13,14,21,16,21,13,19,19,21,9,10,16,19,0,0,0,0,2.9166666666666665,3.75,0.957342427248677,0.075,5,3.8333333333333335,0.9632746362433859,0.07666666666666666,3.5833333333333335,40,998528766714,50,568.0739722251892,3.9166666666666665,0.9685178571428569,0.07833333333333334,2.6666666666666665,41,246549576131,50,544.9540212154388,3.75,0.9458090277777775,0.075,2.4166666666666665,42,384821585325,50,700.9095821380615,3.5,0.9543353174603175,0.07,3.5,43,484473857846,50,711.5099520683289,3.75,0.9547752976190474,0.075,2.4166666666666665,44,762328448421,50,565.8309652805328,3091.2784929275513,711.7312686443329
9,66,6.6,12,0,9,19,19,21,9,13,14,17,16,18,15,17,15,21,18,21,9,14,0,0,10.05,12.733333333333333,0.9760415637860079,0.25466666666666665,5,12.666666666666666,0.9690442386831274,0.25333333333333335,10.5,45,998528766714,50,539.4251153469086,12.833333333333334,0.9719526748971192,0.25666666666666665,9.416666666666666,46,246549576131,50,459.9663212299347,12.916666666666666,0.9816203703703701,0.25833333333333336,9.833333333333334,47,384821585325,50,397.7353448867798,12.416666666666666,0.9763842592592591,0.24833333333333332,11.25,48,484473857846,50,461.95441579818726,12.833333333333334,0.9812062757201644,0.25666666666666665,9.25,49,762328448421,50,419.27877283096313,2278.3599700927734,539.4315476417542
