,num_robots,robot_speed,robot_speed_kmh,simulation_duration,generation,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_3,utilization_rate_3,delivery_rate_3,num_risks_3,unique_id_3,seed_3,requests_per_hour_3,execution_time_3,sequential_execution_time,execution_time,num_delivered_4,utilization_rate_4,delivery_rate_4,num_risks_4,unique_id_4,seed_4,requests_per_hour_4,execution_time_4,num_delivered_2,utilization_rate_2,delivery_rate_2,num_risks_2,unique_id_2,seed_2,requests_per_hour_2,execution_time_2,num_delivered_1,utilization_rate_1,delivery_rate_1,num_risks_1,unique_id_1,seed_1,requests_per_hour_1,execution_time_1,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0
0,5,178,17.8,5,0,18.8,25.0,0.9715333333333334,0.5,1,25.0,0.9715333333333334,0.5,18.8,3,508318502630,50,93.29863047599792,93.29863047599792,93.65151953697205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,21,2.1,5,0,3.4,4.6,0.9744166666666666,0.092,1,4.6,0.9744166666666666,0.092,3.4,8,508318502630,50,69.7657299041748,69.7657299041748,74.9811098575592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,72,7.2,5,0,19.0,20.6,0.9636222222222223,0.412,1,20.6,0.9636222222222223,0.412,19.0,13,508318502630,50,126.94740986824036,126.94740986824036,126.94987773895264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,133,13.3,5,0,25.8,39.2,0.9835416666666665,0.784,1,39.2,0.9835416666666665,0.784,25.8,18,508318502630,50,112.99444580078125,112.99444580078125,120.28301763534546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,66,6.6,5,0,2.8,4.0,0.9880555555555556,0.08,1,4.0,0.9880555555555556,0.08,2.8,23,508318502630,50,22.431358814239502,22.431358814239502,40.9629545211792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,122,12.2,5,0,14.6,19.0,0.9734305555555555,0.38,1,19.0,0.9734305555555555,0.38,14.6,28,508318502630,50,89.05127120018005,89.05127120018005,89.05427432060242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,160,16.0,5,0,35.8,44.8,0.9760185185185184,0.896,1,44.8,0.9760185185185184,0.896,35.8,33,508318502630,50,120.49505257606506,120.49505257606506,122.95143580436707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,152,15.2,5,0,32.0,40.0,0.9855416666666666,0.8,1,40.0,0.9855416666666666,0.8,32.0,38,508318502630,50,106.44068121910095,106.44068121910095,119.22827959060669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,136,13.6,5,0,30.2,39.0,0.9786388888888888,0.78,1,39.0,0.9786388888888888,0.78,30.2,43,508318502630,50,119.86604475975037,119.86604475975037,121.58381700515747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,23,2.3,5,0,4.4,5.2,0.9898055555555555,0.104,1,5.2,0.9898055555555555,0.104,4.4,48,508318502630,50,55.95251679420471,55.95251679420471,71.82320833206177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,47,4.7,5,0,17.2,22.0,0.9751851851851852,0.44,1,22.0,0.9751851851851852,0.44,17.2,53,508318502630,50,138.3829221725464,138.3829221725464,138.3864462375641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,182,18.2,5,0,16.0,20.0,0.9629444444444444,0.4,1,20.0,0.9629444444444444,0.4,16.0,58,508318502630,50,91.00124526023865,91.00124526023865,91.00482320785522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,66,6.6,5,1,18.6,20.4,0.9754222222222223,0.408,1,20.4,0.9754222222222223,0.408,18.6,63,508318502630,50,108.89828133583069,108.89828133583069,118.5859706401825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2,18,1.8,5,1,2.8,4.2,0.9596944444444444,0.084,1,4.2,0.9596944444444444,0.084,2.8,68,508318502630,50,83.72714829444885,83.72714829444885,97.34363770484924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,64,6.4,5,1,15.4,16.4,0.9841527777777778,0.328,1,16.4,0.9841527777777778,0.328,15.4,73,508318502630,50,80.73326969146729,80.73326969146729,115.45476937294006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,123,12.3,5,1,3.0,4.6,0.9666666666666668,0.092,1,4.6,0.9666666666666668,0.092,3.0,78,508318502630,50,36.19400596618652,36.19400596618652,37.47249722480774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,21,2.1,5,1,2.0,2.4,0.9773888888888888,0.048,1,2.4,0.9773888888888888,0.048,2.0,83,508318502630,50,40.44573974609375,40.44573974609375,43.283979654312134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7,131,13.1,5,1,26.8,33.8,0.9820317460317459,0.676,1,33.8,0.9820317460317459,0.676,26.8,88,508318502630,50,113.17988562583923,113.17988562583923,124.32455921173096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,126,12.6,5,1,23.8,28.8,0.9780092592592592,0.576,1,28.8,0.9780092592592592,0.576,23.8,93,508318502630,50,106.23879742622375,106.23879742622375,110.36431312561035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,133,13.3,5,1,16.0,19.2,0.9744999999999999,0.384,1,19.2,0.9744999999999999,0.384,16.0,98,508318502630,50,87.66789031028748,87.66789031028748,87.672278881073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,122,12.2,5,1,14.6,19.0,0.9734305555555555,0.38,1,19.0,0.9734305555555555,0.38,14.6,28,508318502630,50,89.05127120018005,89.05127120018005,0.0005736351013183594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,8,135,13.5,5,1,29.2,39.0,0.9796111111111111,0.78,1,39.0,0.9796111111111111,0.78,29.2,103,508318502630,50,118.52661919593811,118.52661919593811,123.40712404251099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,20,2.0,5,1,4.2,4.8,0.9819444444444445,0.096,1,4.8,0.9819444444444445,0.096,4.2,108,508318502630,50,61.817421674728394,61.817421674728394,65.6323561668396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
